,HYD,MLN,ITM,VanEck Vectors Short High Yield Muni ETF,EIM,MHD,MYI,MVF,KTF,Us Dollar,PTBL.TA,MMU,MFM,DSM,SUM
07/09/2021,30.55,29.95,29.29,5.09,1.01,1.01,1.01,1.0,1.0,0.08,0.0,0.0,0.0,0.0,99.99
07/12/2021,30.54,29.94,29.31,5.09,1.01,1.01,1.01,1.02,1.01,0.0,0.07,0.0,0.0,0.0,100.01
07/13/2021,30.54,29.94,29.31,5.09,1.01,1.01,1.01,1.02,1.01,0.0,0.07,0.0,0.0,0.0,100.01
07/14/2021,30.52,29.01,29.28,5.09,1.01,1.01,1.02,1.02,1.01,0.0,0.05,1.0,0.0,0.0,100.02
07/15/2021,30.52,29.01,29.28,5.09,1.01,1.01,1.02,1.02,1.01,0.0,0.05,1.0,0.0,0.0,100.02
07/16/2021,30.52,29.01,29.28,5.09,1.01,1.01,1.02,1.02,1.01,0.0,0.05,1.0,0.0,0.0,100.02
07/19/2021,30.54,27.98,29.33,5.09,1.01,1.01,1.01,1.0,1.01,0.0,0.05,0.99,1.0,0.0,100.02
07/20/2021,30.55,27.96,29.3,5.09,1.01,1.01,1.01,1.0,1.0,0.0,0.1,0.99,0.99,0.0,100.01
07/21/2021,30.55,27.96,29.3,5.09,1.01,1.01,1.01,1.0,1.0,0.0,0.1,0.99,0.99,0.0,100.01
07/22/2021,30.55,27.96,29.3,5.09,1.01,1.01,1.01,1.0,1.0,0.0,0.1,0.99,0.99,0.0,100.01
07/23/2021,30.53,27.99,29.32,5.09,1.0,1.02,1.01,0.99,0.98,0.0,0.1,0.98,0.99,0.0,100.0
07/26/2021,30.57,27.97,29.32,5.09,1.0,1.01,1.01,0.99,0.98,0.0,0.1,0.98,0.98,0.0,100.0
07/27/2021,30.59,26.9,29.33,5.09,1.0,1.01,1.01,0.99,1.0,0.0,0.1,0.98,0.99,1.01,100.0
07/28/2021,30.59,26.9,29.33,5.09,1.0,1.01,1.01,0.99,1.0,0.0,0.1,0.98,0.99,1.01,100.0
07/29/2021,30.55,26.94,29.29,5.1,1.01,1.02,1.02,0.99,1.0,0.0,0.1,0.98,0.99,1.01,100.0
07/30/2021,30.54,26.95,29.3,5.09,1.01,1.02,1.01,0.99,1.01,0.0,0.1,0.98,1.0,1.01,100.01
08/02/2021,30.54,26.88,29.29,5.09,1.01,1.03,1.02,0.99,1.02,0.0,0.1,0.99,1.01,1.03,100.0
08/03/2021,30.54,26.88,29.29,5.09,1.01,1.03,1.02,0.99,1.02,0.0,0.1,0.99,1.01,1.03,100.0
08/04/2021,30.54,26.88,29.29,5.09,1.01,1.03,1.02,0.99,1.02,0.0,0.1,0.99,1.01,1.03,99.99999999999999
