,NIO,TSLA,VWS.CO,DLR,ENPH,9022.T,PLUG,LI,KRX.IR,XPEV,SEDG,ALO.PA,300750 C2,DAR,RUN,968.HK,FSLR,66.HK,SUZB3.SA,SGRE.MC,VNO,C38U.SI,586.HK,3283.T,INDA,WMS,DEI,NEP,WFG.TO,LI.PA,COV.PA,ROCK B.CO,601012 C1,SALM.OL,MRL.MC,N2IU.SI,MTH,1972.HK,KBH,SCATC.OL,NOVA,3800.HK,ORA,COL.MC,BMI,BLX.TO,REGI,SPWR,1585.HK,BDN,3234.T,PDM,2633.TW,CVA,SRAIL.SW,257.HK,SGM.AX,SWCH,601816 C1,JKS,ALFEN.AS,ENLT.TA,ECV.DE,RNW.TO,112610.KS,PGRE,TPIC,371.HK,RW0U.SI,NEOEN.PA,KC,NDX1.DE,FCR.UN.TO,K71U.SI,WKHS,SLR.MC,9519.T,300274 C2,CFP.TO,600703 C1,SCHN,819.HK,DEQ.DE,VBK.DE,2208 HK,8968.T,3576.TW,ABIO.PA,PLAZ B.ST,SLCE3.SA,NIU,OMGE3.SA,3487.T,ENRG.TA,ERII,FKR.MI,TKTT.PA,1407.T,TS0U.SI,1798.HK,9517.T,FAG.ST,TENERGY.AT,SK6U.SI,S92.DE,GSF.OL,213420.KQ,MERC,SUPER-R TB,SPK.MC,6443.TW,8341.TW,CMCOM.AS,REX,002459 C2,300450 C2,6244 TT,018000.KQ,182.HK,002202 C2,BCPG-R TB,LRE.MC,PNE3.DE,1381.HK,ZAG.VI,658.HK,SPCG-R TB,686.HK,1257.HK,SIFG.AS,603218 C1,BTS-R TB,002506 C2,1330 HK,U9E.SI,NDXB,CEWL SP,BTS-R7.BK,BTS-R8 TB,BTS-R6.BK,BTS-R8.BK,BTS-R6 TB,SUM
07/09/2021,6.61,5.09,4.79,4.57,4.28,4.24,3.05,2.93,2.82,2.64,2.62,2.44,2.06,1.99,1.8,1.79,1.61,1.6,1.58,1.49,1.38,1.36,1.24,1.23,1.19,1.12,1.09,1.09,1.09,1.02,0.86,0.8,0.75,0.71,0.7,0.65,0.64,0.64,0.61,0.61,0.59,0.57,0.57,0.54,0.54,0.51,0.5,0.47,0.47,0.43,0.43,0.43,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,6.04,5.11,4.66,4.71,4.2,4.23,2.75,2.8,2.9,2.86,2.57,2.33,2.19,2.02,1.69,1.81,1.65,1.64,1.62,1.42,1.41,1.34,1.21,1.26,1.11,1.15,1.12,1.07,1.19,1.01,0.89,0.82,0.84,0.69,0.72,0.65,0.65,0.63,0.61,0.6,0.55,0.64,0.58,0.56,0.54,0.5,0.53,0.44,0.49,0.44,0.43,0.43,0.39,0.39,0.4,0.37,0.38,0.37,0.37,0.38,0.36,0.35,0.35,0.35,0.31,0.33,0.31,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.26,0.28,0.29,0.3,0.26,0.25,0.25,0.24,0.22,0.21,0.23,0.2,0.19,0.19,0.2,0.17,0.19,0.17,0.16,0.15,0.14,0.15,0.15,0.16,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.4,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,6.04,5.11,4.66,4.71,4.2,4.23,2.75,2.8,2.9,2.86,2.57,2.33,2.19,2.02,1.69,1.81,1.65,1.64,1.62,1.42,1.41,1.34,1.21,1.26,1.11,1.15,1.12,1.07,1.19,1.01,0.89,0.82,0.84,0.69,0.72,0.65,0.65,0.63,0.61,0.6,0.55,0.64,0.58,0.56,0.54,0.5,0.53,0.44,0.49,0.44,0.43,0.43,0.39,0.39,0.4,0.37,0.38,0.37,0.37,0.38,0.36,0.35,0.35,0.35,0.31,0.33,0.31,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.26,0.28,0.29,0.3,0.26,0.25,0.25,0.24,0.22,0.21,0.23,0.2,0.19,0.19,0.2,0.17,0.19,0.17,0.16,0.15,0.14,0.15,0.15,0.16,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.4,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,6.07,5.27,4.74,4.71,4.19,4.14,2.68,2.85,2.88,2.82,2.55,2.28,2.25,2.01,1.73,1.83,1.66,1.62,1.6,1.44,1.41,1.33,1.22,1.23,1.1,1.15,1.12,1.05,1.16,1.0,0.9,0.82,0.82,0.69,0.74,0.64,0.64,0.63,0.61,0.61,0.56,0.66,0.57,0.55,0.54,0.49,0.52,0.46,0.5,0.45,0.43,0.44,0.39,0.41,0.4,0.36,0.38,0.37,0.37,0.41,0.36,0.35,0.35,0.34,0.31,0.33,0.31,0.31,0.32,0.31,0.29,0.29,0.29,0.28,0.26,0.29,0.29,0.3,0.26,0.26,0.25,0.23,0.22,0.21,0.22,0.2,0.19,0.19,0.2,0.16,0.18,0.17,0.16,0.16,0.14,0.15,0.14,0.16,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.09,0.1,0.1,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.06,0.05,0.04,0.05,0.04,0.04,0.05,0.4,0.04,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.09
07/16/2021,5.97,5.2,4.77,4.71,4.21,4.15,2.61,2.86,2.89,2.81,2.55,2.21,2.27,2.01,1.71,1.9,1.65,1.66,1.61,1.41,1.38,1.34,1.25,1.25,1.11,1.15,1.11,1.05,1.15,0.99,0.89,0.83,0.82,0.69,0.72,0.65,0.63,0.64,0.6,0.61,0.56,0.6,0.58,0.54,0.54,0.49,0.51,0.45,0.5,0.45,0.43,0.44,0.39,0.41,0.4,0.37,0.38,0.37,0.37,0.42,0.36,0.36,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.28,0.25,0.29,0.32,0.3,0.25,0.25,0.25,0.23,0.22,0.21,0.23,0.2,0.19,0.2,0.2,0.17,0.18,0.18,0.16,0.16,0.15,0.15,0.14,0.18,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.09,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.06,0.07,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.41,0.04,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/19/2021,5.97,5.21,4.54,4.89,3.89,4.12,2.58,2.81,3.01,2.84,2.39,2.27,2.36,2.1,1.56,1.87,1.57,1.72,1.61,1.22,1.42,1.37,1.27,1.28,1.15,1.16,1.15,1.1,1.16,0.98,0.9,0.85,0.88,0.72,0.72,0.65,0.65,0.65,0.62,0.58,0.52,0.59,0.59,0.54,0.55,0.49,0.54,0.39,0.5,0.46,0.44,0.46,0.41,0.45,0.42,0.39,0.39,0.38,0.38,0.42,0.36,0.37,0.34,0.35,0.35,0.34,0.29,0.33,0.33,0.3,0.31,0.38,0.3,0.29,0.24,0.28,0.29,0.34,0.25,0.25,0.26,0.23,0.22,0.22,0.23,0.2,0.2,0.19,0.2,0.17,0.17,0.18,0.17,0.16,0.14,0.15,0.14,0.18,0.13,0.13,0.14,0.13,0.12,0.13,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.09,0.08,0.07,0.08,0.08,0.07,0.07,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.05,0.42,0.04,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.12
07/23/2021,6.08,5.33,4.5,4.93,4.08,4.0,2.61,2.81,2.98,3.03,2.45,2.28,2.2,2.12,1.68,1.85,1.52,1.75,1.56,1.2,1.41,1.34,1.24,1.3,1.14,1.21,1.16,1.09,1.11,0.96,0.91,0.82,0.84,0.71,0.73,0.64,0.67,0.68,0.64,0.57,0.55,0.56,0.59,0.55,0.57,0.5,0.54,0.4,0.45,0.47,0.45,0.46,0.41,0.46,0.41,0.38,0.36,0.38,0.38,0.39,0.35,0.36,0.33,0.34,0.37,0.34,0.29,0.33,0.32,0.3,0.3,0.38,0.29,0.29,0.24,0.27,0.3,0.33,0.22,0.27,0.24,0.23,0.21,0.22,0.22,0.2,0.2,0.19,0.2,0.16,0.17,0.18,0.17,0.15,0.14,0.14,0.0,0.18,0.13,0.12,0.14,0.13,0.12,0.13,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.09,0.08,0.07,0.08,0.08,0.07,0.07,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.05,0.43,0.04,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.11
08/26/2021,5.21,5.65,5.02,5.04,4.04,4.01,2.44,3.02,3.26,2.92,2.78,2.27,2.15,2.27,1.47,1.9,1.76,1.72,1.53,1.36,1.29,1.34,1.24,1.38,1.03,1.19,1.07,1.15,1.14,0.94,0.92,0.86,0.76,0.71,0.77,0.63,0.78,0.63,0.66,0.49,0.54,0.0,0.58,0.58,0.6,0.5,0.42,0.36,0.4,0.45,0.42,0.44,0.4,0.46,0.42,0.48,0.35,0.44,0.33,0.29,0.44,0.37,0.35,0.33,0.3,0.3,0.27,0.34,0.32,0.3,0.27,0.37,0.29,0.27,0.19,0.3,0.27,0.38,0.24,0.31,0.25,0.23,0.22,0.27,0.27,0.2,0.18,0.21,0.23,0.14,0.15,0.16,0.18,0.16,0.14,0.17,0.0,0.19,0.13,0.13,0.11,0.14,0.12,0.12,0.09,0.09,0.12,0.09,0.09,0.09,0.07,0.09,0.11,0.08,0.11,0.1,0.07,0.06,0.11,0.09,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.07,0.43,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.18
08/27/2021,5.25,5.6,5.05,4.97,4.02,4.04,2.46,3.12,3.23,2.95,2.73,2.28,2.14,2.26,1.45,1.91,1.71,1.69,1.59,1.37,1.29,1.33,1.25,1.35,1.03,1.19,1.06,1.14,1.18,0.93,0.9,0.85,0.78,0.71,0.76,0.63,0.79,0.64,0.66,0.48,0.53,0.0,0.58,0.57,0.59,0.5,0.42,0.35,0.42,0.45,0.41,0.42,0.4,0.45,0.41,0.47,0.34,0.44,0.32,0.3,0.45,0.37,0.34,0.32,0.3,0.3,0.28,0.35,0.32,0.3,0.29,0.38,0.29,0.26,0.2,0.29,0.27,0.38,0.24,0.31,0.24,0.22,0.22,0.28,0.27,0.19,0.17,0.21,0.23,0.15,0.16,0.16,0.18,0.16,0.14,0.17,0.0,0.19,0.12,0.12,0.11,0.14,0.12,0.12,0.1,0.09,0.12,0.09,0.09,0.09,0.07,0.09,0.11,0.08,0.12,0.1,0.07,0.06,0.1,0.09,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.06,0.43,0.06,0.04,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.0,100.09
09/02/2021,5.03,5.7,4.91,4.93,4.07,4.03,2.46,2.93,3.29,2.93,2.85,2.24,2.04,2.3,1.44,2.2,1.71,1.64,1.66,1.35,1.26,1.31,1.21,1.4,1.04,1.16,1.07,1.13,1.25,0.95,0.92,0.87,0.89,0.71,0.77,0.62,0.79,0.61,0.67,0.47,0.55,0.0,0.59,0.57,0.58,0.5,0.41,0.34,0.4,0.45,0.43,0.41,0.4,0.44,0.41,0.48,0.35,0.44,0.32,0.33,0.4,0.37,0.33,0.31,0.32,0.29,0.27,0.35,0.31,0.3,0.31,0.37,0.29,0.26,0.2,0.28,0.25,0.41,0.25,0.28,0.24,0.18,0.22,0.26,0.27,0.2,0.18,0.21,0.22,0.15,0.15,0.15,0.19,0.17,0.14,0.18,0.0,0.18,0.12,0.12,0.1,0.14,0.13,0.12,0.1,0.09,0.12,0.09,0.09,0.09,0.08,0.08,0.11,0.09,0.14,0.1,0.07,0.06,0.11,0.09,0.07,0.07,0.06,0.05,0.06,0.06,0.05,0.04,0.04,0.05,0.06,0.44,0.06,0.04,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.0,100.09
