,BHP.AX,RIO.L,VALE3.SA,BHP.L,FCX,AAL.L,GLEN.L,RIO.AX,FMG.AX,NUE,005490.KS,MT.AS,GMKN.ME,2002.TW,5401.T,GMEXICOB.MX,IMP.JO,FM.TO,STLD,SSW.JO,S32.AX,TECK,BOL.ST,CLF,5713.T,RS,NHY.OL,HINDALCO.NS,BSL.AX,ANTO.L,JSWSTEEL.NS,1211.SR,MIN.AX,KGH.WA,TATASTEEL.NS,AA,GGBR4.SA,AMS.JO,CSNA3.SA,LUN.TO,X,NHM.JO,OZL.AX,5411.T,SCCO,VOE.VI,CHMF.ME,IVN.TO,IGO.AX,ALRS.ME,NLMK.ME,004020.KS,EVR.L,1772.HK,5486.T,TKA.DE,VEDL.NS,LYC.AX,PMETAL.KL,CMC,ARNC,BRAP4.SA,010130.KS,1378.HK,NDA.DE,AWC.AX,KIO.JO,EREGL.IS,ILU.AX,SSABB.ST,APAM.AS,ATI,TTST.L,2027.TW,358.HK,2600.HK,5711.T,LIF.TO,JINDALSTEL.NS,D7N.,MDKA.JK,WOR,2014.TW,ARI.JO,SGM.AX,PLS.AX,5714.T,XTSLA,5406.T,CMP,ACX.MC,OUT1V.HE,GOAU4.SA,KALU,CRS,5857.T,MP,5444.T,TRQ.TO,MTRN,BEKB.BR,FXPO.L,600019.SS,RUB,GRNG.ST,5706.T,HILS.L,2015.TW,HBM.TO,CIA.TO,ORE.AX,2006.TW,ERO.TO,SCHN,1208.HK,002460.SZ,DRR.AX,2023.TW,603799.SS,5463.T,CAP.SN,SSAB A.ST,5471.T,QAMC.QA,SZG.DE,LAC.TO,001230.KS,GXY.AX,APLAPOLLO.NS,5423.T,PLL,RBP.JO,AMG.AS,STLC.TO,NATIONALUM.NS,5703.T,603993.SS,CS.TO,SFR.AX,HCC,NIC.AX,CENX,ERA.PA,600111.SS,600010.SS,5741.T,103140.KS,2362.HK,5727.T,EUA.L,2010.TW,ALS.TO,JSW.WA,CAML.L,601600.SS,CRN.AX,2031.TW,SXC,639.HK,WSA.AX,KRDMD.IS,000825.SZ,002340.SZ,600219.SS,FESA4.SA,826.HK,NUAG.TO,000932.SZ,581.HK,RATNAMANI.NS,LGO.TO,SLS.TO,9958.TW,2034.TW,600362.SS,KOZAA.IS,000670.KS,PRN.AX,002541.SZ,MGX.AX,001430.KS,1333.HK,600549.SS,900936.SZ,5451.T,000709.SZ,000807.SZ,000629.SZ,002683.SZ,5440.T,008350.KS,WM.TO,1532.TW,000975.SZ,000630.SZ,002075.SZ,JMS.AX,TINS.JK,CAD,HKD,600392.SS,BRL,TWD,KRW,INR,SALFT,AUD,PKR,GBP,ZAR,SAR,MYR,SUM
07/09/2021,9.21,7.79,7.41,5.31,4.49,4.44,3.66,2.97,2.53,2.39,1.92,1.84,1.78,1.44,1.25,1.25,1.16,1.12,1.05,1.01,0.92,0.89,0.87,0.86,0.86,0.81,0.75,0.7,0.69,0.65,0.65,0.65,0.6,0.59,0.59,0.58,0.55,0.53,0.51,0.51,0.5,0.48,0.48,0.47,0.46,0.4,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.33,0.32,0.31,0.3,0.28,0.28,0.27,0.27,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
07/12/2021,9.33,7.79,7.32,5.41,4.36,4.41,3.64,2.98,2.56,2.43,1.89,1.83,1.78,1.41,1.22,1.23,1.12,1.14,1.09,0.99,0.92,0.91,0.89,0.86,0.85,0.81,0.71,0.7,0.7,0.66,0.65,0.65,0.6,0.59,0.6,0.56,0.54,0.53,0.5,0.52,0.51,0.47,0.48,0.46,0.46,0.41,0.38,0.38,0.37,0.38,0.36,0.35,0.36,0.37,0.36,0.35,0.34,0.36,0.31,0.31,0.3,0.28,0.28,0.26,0.27,0.25,0.25,0.24,0.24,0.22,0.22,0.23,0.23,0.21,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/13/2021,9.33,7.79,7.32,5.41,4.36,4.41,3.64,2.98,2.56,2.43,1.89,1.83,1.78,1.41,1.22,1.23,1.12,1.14,1.09,0.99,0.92,0.91,0.89,0.86,0.85,0.81,0.71,0.7,0.7,0.66,0.65,0.65,0.6,0.59,0.6,0.56,0.54,0.53,0.5,0.52,0.51,0.47,0.48,0.46,0.46,0.41,0.38,0.38,0.37,0.38,0.36,0.35,0.36,0.37,0.36,0.35,0.34,0.36,0.31,0.31,0.3,0.28,0.28,0.26,0.27,0.25,0.25,0.24,0.24,0.22,0.22,0.23,0.23,0.21,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/14/2021,9.15,7.96,7.18,5.54,4.48,4.51,3.71,2.91,2.54,2.47,1.84,1.88,1.77,1.35,1.18,1.2,1.1,1.15,1.09,0.99,0.91,0.93,0.89,0.91,0.82,0.81,0.74,0.7,0.68,0.66,0.65,0.64,0.59,0.58,0.62,0.58,0.53,0.52,0.49,0.52,0.54,0.46,0.46,0.45,0.47,0.41,0.39,0.38,0.36,0.39,0.37,0.33,0.37,0.37,0.35,0.36,0.34,0.36,0.3,0.31,0.3,0.27,0.27,0.27,0.27,0.24,0.25,0.24,0.23,0.22,0.23,0.24,0.23,0.2,0.2,0.2,0.19,0.19,0.19,0.22,0.17,0.18,0.16,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.06,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,9.15,7.96,7.18,5.54,4.48,4.51,3.71,2.91,2.54,2.47,1.84,1.88,1.77,1.35,1.18,1.2,1.1,1.15,1.09,0.99,0.91,0.93,0.89,0.91,0.82,0.81,0.74,0.7,0.68,0.66,0.65,0.64,0.59,0.58,0.62,0.58,0.53,0.52,0.49,0.52,0.54,0.46,0.46,0.45,0.47,0.41,0.39,0.38,0.36,0.39,0.37,0.33,0.37,0.37,0.35,0.36,0.34,0.36,0.3,0.31,0.3,0.27,0.27,0.27,0.27,0.24,0.25,0.24,0.23,0.22,0.23,0.24,0.23,0.2,0.2,0.2,0.19,0.19,0.19,0.22,0.17,0.18,0.16,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.06,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,9.3,7.88,7.4,5.47,4.36,4.42,3.63,2.96,2.66,2.4,1.87,1.82,1.84,1.29,1.21,1.18,1.13,1.12,1.08,0.98,0.9,0.91,0.88,0.91,0.84,0.79,0.73,0.7,0.69,0.64,0.67,0.62,0.61,0.57,0.61,0.55,0.56,0.52,0.53,0.52,0.53,0.47,0.46,0.46,0.46,0.4,0.4,0.38,0.37,0.4,0.38,0.34,0.36,0.4,0.35,0.34,0.34,0.37,0.3,0.3,0.29,0.29,0.27,0.27,0.27,0.24,0.25,0.24,0.23,0.22,0.22,0.23,0.23,0.19,0.21,0.2,0.19,0.19,0.19,0.2,0.17,0.18,0.15,0.18,0.18,0.19,0.17,0.13,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.15,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.11,0.11,0.12,0.12,0.15,0.12,0.11,0.13,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.06,0.09,0.08,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.02,0.03,0.0,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.02,0.08,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
07/19/2021,9.36,7.93,7.43,5.46,4.17,4.44,3.68,2.99,2.69,2.39,1.87,1.86,1.82,1.31,1.19,1.23,1.15,1.07,1.08,0.99,0.9,0.88,0.89,0.86,0.81,0.79,0.74,0.71,0.7,0.63,0.66,0.62,0.62,0.58,0.62,0.53,0.55,0.53,0.53,0.51,0.5,0.48,0.46,0.46,0.46,0.4,0.4,0.37,0.37,0.39,0.38,0.34,0.36,0.41,0.35,0.33,0.34,0.35,0.3,0.3,0.28,0.29,0.31,0.26,0.27,0.24,0.26,0.24,0.23,0.23,0.22,0.22,0.23,0.2,0.2,0.19,0.19,0.19,0.19,0.21,0.18,0.18,0.16,0.18,0.17,0.19,0.17,0.12,0.17,0.2,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.14,0.11,0.11,0.12,0.12,0.15,0.12,0.11,0.13,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.05,0.06,0.1,0.08,0.06,0.06,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
07/20/2021,9.36,7.93,7.43,5.46,4.17,4.44,3.68,2.99,2.69,2.39,1.87,1.86,1.82,1.31,1.19,1.23,1.15,1.07,1.08,0.99,0.9,0.88,0.89,0.86,0.81,0.79,0.74,0.71,0.7,0.63,0.66,0.62,0.62,0.58,0.62,0.53,0.55,0.53,0.53,0.51,0.5,0.48,0.46,0.46,0.46,0.4,0.4,0.37,0.37,0.39,0.38,0.34,0.36,0.41,0.35,0.33,0.34,0.35,0.3,0.3,0.28,0.29,0.31,0.26,0.27,0.24,0.26,0.24,0.23,0.23,0.22,0.22,0.23,0.2,0.2,0.19,0.19,0.19,0.19,0.21,0.18,0.18,0.16,0.18,0.17,0.19,0.17,0.12,0.17,0.2,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.14,0.11,0.11,0.12,0.12,0.15,0.12,0.11,0.13,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.05,0.06,0.1,0.08,0.06,0.06,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
07/22/2021,9.54,7.73,7.46,5.41,4.14,4.32,3.54,3.03,2.76,2.38,1.89,1.82,1.87,1.35,1.24,1.23,1.1,0.94,1.07,0.95,0.91,0.83,0.89,0.81,0.85,0.8,0.71,0.74,0.73,0.63,0.69,0.65,0.63,0.58,0.65,0.51,0.56,0.51,0.52,0.5,0.49,0.46,0.45,0.48,0.46,0.41,0.41,0.35,0.37,0.39,0.38,0.34,0.36,0.44,0.37,0.32,0.35,0.35,0.31,0.31,0.28,0.29,0.31,0.27,0.27,0.24,0.26,0.25,0.24,0.23,0.23,0.21,0.24,0.22,0.21,0.22,0.2,0.19,0.19,0.21,0.18,0.18,0.16,0.19,0.17,0.19,0.18,0.24,0.18,0.2,0.18,0.17,0.17,0.16,0.15,0.16,0.14,0.15,0.12,0.13,0.14,0.14,0.14,0.03,0.12,0.13,0.13,0.13,0.12,0.14,0.13,0.11,0.11,0.11,0.12,0.15,0.13,0.13,0.12,0.11,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.1,0.08,0.1,0.07,0.07,0.08,0.07,0.05,0.06,0.1,0.08,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/23/2021,9.29,7.81,7.47,5.5,4.22,4.33,3.6,2.95,2.73,2.42,1.87,1.88,1.86,1.34,1.22,1.22,1.1,0.93,1.09,0.96,0.89,0.83,0.9,0.84,0.82,0.83,0.73,0.71,0.7,0.64,0.68,0.65,0.61,0.58,0.64,0.57,0.56,0.52,0.52,0.51,0.51,0.46,0.44,0.47,0.47,0.41,0.42,0.37,0.37,0.39,0.39,0.33,0.36,0.43,0.37,0.32,0.34,0.34,0.31,0.32,0.29,0.29,0.31,0.26,0.27,0.24,0.26,0.25,0.24,0.24,0.23,0.22,0.24,0.21,0.2,0.2,0.19,0.19,0.19,0.21,0.18,0.19,0.16,0.19,0.17,0.18,0.17,0.23,0.17,0.21,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.12,0.13,0.14,0.14,0.14,0.03,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.11,0.12,0.11,0.16,0.13,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.06,0.09,0.08,0.09,0.1,0.08,0.09,0.07,0.07,0.08,0.07,0.06,0.06,0.1,0.08,0.06,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11
