,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,KO,T,PEP,ABBV,NKE,TMO,CVX,MRK,ACN,AVGO,WMT,LLY,WFC,DHR,TXN,COST,MCD,MDT,QCOM,PM,UPS,HON,ORCL,LIN,BMY,UNP,NEE,C,AMGN,LOW,INTU,SBUX,MS,RTX,BA,BLK,GS,AMAT,AMT,IBM,TGT,CAT,AMD,MMM,GE,ISRG,AXP,NOW,DE,CVS,SCHW,CHTR,SPGI,ANTM,LMT,ZTS,BKNG,MU,PLD,FIS,LRCX,MDLZ,SYK,MO,CCI,TMUS,GILD,ADP,TJX,COP,CI,PNC,DUK,USB,CME,EL,CSX,EQIX,ATVI,GM,TFC,CB,MMC,BDX,FDX,COF,CL,ILMN,NSC,ICE,EW,SHW,SO,ADSK,FISV,ITW,APD,BSX,ADI,REGN,D,ETN,MCO,HUM,EMR,PGR,GPN,F,HCA,IDXX,TWTR,NXPI,WM,NOC,AON,FCX,ECL,BIIB,VRTX,DG,NEM,ROP,JCI,EOG,IQV,KLAC,PSA,DOW,TROW,KMB,MSCI,A,ROST,LHX,TEL,EBAY,CMG,TT,EXC,MET,SLB,ALGN,AEP,SNPS,APTV,DXCM,INFO,GD,CNC,DLR,SRE,SPG,APH,DD,EA,ALXN,BAX,ORLY,PPG,AIG,MCHP,BK,PRU,ALL,CARR,PH,STZ,CDNS,SYY,MPC,TRV,DFS,MSI,AGPXX,WELL,XEL,GIS,RMD,MRNA,SUM
07/09/2021,6.31,5.92,4.46,2.39,2.15,2.09,1.49,1.46,1.44,1.32,1.25,1.15,1.1,0.97,0.96,0.94,0.93,0.89,0.86,0.81,0.75,0.74,0.68,0.66,0.66,0.64,0.63,0.62,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.56,0.55,0.55,0.54,0.53,0.51,0.5,0.5,0.5,0.49,0.48,0.45,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.12
07/12/2021,6.44,5.92,4.51,2.38,2.13,2.09,1.5,1.41,1.43,1.33,1.26,1.14,1.1,1.0,0.97,0.95,0.92,0.91,0.85,0.82,0.75,0.73,0.67,0.66,0.64,0.64,0.64,0.63,0.6,0.6,0.58,0.58,0.58,0.58,0.58,0.57,0.56,0.56,0.55,0.55,0.53,0.51,0.5,0.5,0.52,0.5,0.49,0.45,0.44,0.44,0.44,0.45,0.43,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.34,0.31,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.44999999999999
07/13/2021,6.44,5.92,4.51,2.38,2.13,2.09,1.5,1.41,1.43,1.33,1.26,1.14,1.1,1.0,0.97,0.95,0.92,0.91,0.85,0.82,0.75,0.73,0.67,0.66,0.64,0.64,0.64,0.63,0.6,0.6,0.58,0.58,0.58,0.58,0.58,0.57,0.56,0.56,0.55,0.55,0.53,0.51,0.5,0.5,0.52,0.5,0.49,0.45,0.44,0.44,0.44,0.45,0.43,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.34,0.31,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.44999999999999
07/14/2021,6.44,5.92,4.51,2.37,2.13,2.09,1.5,1.41,1.43,1.33,1.26,1.14,1.1,1.0,0.97,0.95,0.92,0.91,0.85,0.82,0.75,0.73,0.67,0.66,0.64,0.64,0.64,0.63,0.6,0.6,0.57,0.58,0.58,0.58,0.58,0.57,0.56,0.56,0.55,0.54,0.53,0.51,0.5,0.5,0.52,0.5,0.49,0.45,0.44,0.44,0.44,0.45,0.43,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.34,0.31,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35
07/15/2021,6.41,5.91,4.51,2.39,2.16,2.1,1.5,1.45,1.5,1.35,1.26,1.14,1.11,1.01,0.97,0.95,0.93,0.95,0.87,0.81,0.76,0.73,0.67,0.66,0.64,0.65,0.63,0.63,0.6,0.6,0.58,0.58,0.59,0.58,0.57,0.57,0.56,0.56,0.56,0.54,0.53,0.52,0.5,0.5,0.51,0.5,0.49,0.45,0.43,0.44,0.44,0.45,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.39,0.4,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.31,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.82
07/16/2021,6.47,5.99,4.46,2.39,2.17,2.11,1.5,1.43,1.46,1.33,1.26,1.16,1.12,1.0,0.95,0.95,0.95,0.94,0.85,0.82,0.75,0.73,0.68,0.66,0.64,0.65,0.64,0.63,0.6,0.6,0.57,0.6,0.59,0.58,0.57,0.57,0.56,0.56,0.56,0.55,0.53,0.51,0.5,0.5,0.51,0.5,0.49,0.45,0.43,0.43,0.44,0.45,0.43,0.43,0.41,0.42,0.4,0.4,0.39,0.39,0.4,0.39,0.37,0.36,0.37,0.36,0.35,0.36,0.36,0.35,0.33,0.31,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.31,0.28,0.28,0.28,0.26,0.27,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,87.69
07/19/2021,6.58,5.98,4.4,2.34,2.16,2.12,1.5,1.34,1.42,1.33,1.26,1.19,1.12,0.99,0.97,0.97,0.97,0.95,0.83,0.82,0.75,0.71,0.68,0.66,0.62,0.64,0.64,0.63,0.59,0.62,0.57,0.61,0.58,0.58,0.57,0.55,0.56,0.57,0.55,0.55,0.52,0.53,0.5,0.49,0.51,0.5,0.48,0.45,0.44,0.44,0.46,0.44,0.43,0.43,0.41,0.43,0.4,0.4,0.39,0.39,0.4,0.39,0.36,0.35,0.35,0.36,0.35,0.36,0.35,0.35,0.33,0.3,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.27,0.28,0.27,0.26,0.27,0.25,0.24,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.23,0.22,0.23,0.23,0.23,0.23,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,87.44
07/20/2021,6.65,6.12,4.44,2.37,2.21,2.18,1.53,1.31,1.44,1.33,1.28,1.22,1.15,1.01,0.99,1.0,0.98,0.95,0.83,0.84,0.77,0.7,0.68,0.68,0.64,0.64,0.65,0.65,0.6,0.63,0.59,0.62,0.6,0.59,0.59,0.55,0.57,0.58,0.55,0.56,0.54,0.53,0.52,0.5,0.52,0.51,0.49,0.46,0.45,0.44,0.46,0.46,0.44,0.43,0.42,0.44,0.4,0.41,0.4,0.4,0.4,0.39,0.37,0.35,0.36,0.36,0.34,0.37,0.36,0.36,0.33,0.3,0.33,0.32,0.33,0.32,0.32,0.31,0.31,0.3,0.28,0.29,0.28,0.27,0.27,0.26,0.24,0.27,0.27,0.24,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.12,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,88.81
07/21/2021,6.65,6.12,4.44,2.37,2.21,2.18,1.53,1.31,1.44,1.33,1.28,1.22,1.15,1.01,0.99,1.0,0.98,0.95,0.83,0.84,0.77,0.7,0.68,0.68,0.64,0.64,0.65,0.65,0.6,0.63,0.59,0.62,0.6,0.59,0.59,0.55,0.57,0.58,0.55,0.56,0.54,0.53,0.52,0.5,0.52,0.51,0.49,0.46,0.45,0.44,0.46,0.46,0.44,0.43,0.42,0.44,0.4,0.41,0.4,0.4,0.4,0.39,0.37,0.35,0.36,0.36,0.34,0.37,0.36,0.36,0.33,0.3,0.33,0.32,0.33,0.32,0.32,0.31,0.31,0.3,0.28,0.29,0.28,0.27,0.27,0.26,0.24,0.27,0.27,0.24,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.12,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,88.81
07/22/2021,6.47,6.04,4.4,2.34,2.17,2.13,1.5,1.35,1.44,1.29,1.27,1.18,1.12,1.0,0.98,1.0,0.93,0.91,0.81,0.83,0.75,0.68,0.68,0.67,0.64,0.64,0.65,0.65,0.61,0.63,0.57,0.62,0.59,0.58,0.59,0.54,0.57,0.57,0.55,0.56,0.54,0.52,0.52,0.5,0.53,0.5,0.48,0.45,0.44,0.44,0.44,0.46,0.43,0.43,0.41,0.44,0.39,0.41,0.4,0.39,0.39,0.39,0.36,0.33,0.35,0.35,0.34,0.37,0.36,0.36,0.32,0.3,0.33,0.31,0.32,0.31,0.32,0.3,0.31,0.29,0.28,0.29,0.27,0.26,0.27,0.25,0.24,0.27,0.26,0.24,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.23,0.21,0.23,0.22,0.23,0.21,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.18,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.17,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.12,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,87.48
