,NEP,NEE,SRE,XEL,IBDRY,US Dollar,PEG,LNT,ENLAY,LNG,WMB,AWK,WEC,CQP,CMS,IDA,AEP,ALA.TO,EDPR.LS,PPL,CNP,NPI.TO,D,ATO,OGS,PWR,BEP.UN.TO,FTS.TO,NJR,CPK,CWEN.A,AES,HASI,ENPH,NGG,H.TO,EMA.TO,BEPC,DTE,ES,ECV.DE,Orsted A/S,EIX,DTM WI,USAU,n/a,DTM,SO,ACO.X.TO,ORSTED.CO,ALA.NE,ACO.X.NE,MISXX,SUM
07/09/2021,7.94,6.76,5.16,4.53,4.35,4.2,3.9,3.87,3.56,3.35,3.3,3.19,3.13,3.11,3.08,2.93,2.78,2.57,2.49,2.28,2.02,2.02,1.96,1.84,1.83,1.71,1.51,1.51,1.35,1.12,0.99,0.97,0.85,0.74,0.58,0.5,0.49,0.4,0.34,0.24,0.19,0.17,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.72,6.76,5.15,4.58,4.25,3.37,3.92,3.9,3.58,3.36,3.34,3.25,3.17,3.13,3.11,2.99,2.79,2.6,2.5,2.31,2.07,2.02,1.97,1.87,1.82,1.75,1.49,1.52,1.37,1.11,1.0,0.96,0.83,0.72,0.59,0.51,0.49,0.39,0.82,0.25,0.19,0.17,0.14,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,7.72,6.76,5.15,4.58,4.25,3.37,3.92,3.9,3.58,3.36,3.34,3.25,3.17,3.13,3.11,2.99,2.79,2.6,2.5,2.31,2.07,2.02,1.97,1.87,1.82,1.75,1.49,1.52,1.37,1.11,1.0,0.96,0.83,0.72,0.59,0.51,0.49,0.39,0.82,0.25,0.19,0.17,0.14,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,7.53,7.03,5.09,4.68,4.19,3.38,3.94,4.04,3.45,3.12,3.13,3.39,3.3,2.93,3.21,3.13,2.84,2.51,2.44,2.3,2.05,2.0,2.0,1.9,1.84,1.69,1.45,1.52,1.31,1.13,0.97,0.89,0.81,0.66,0.58,0.51,0.49,0.37,0.98,0.26,0.17,0.16,0.14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,7.53,7.03,5.09,4.68,4.19,3.38,3.94,4.04,3.45,3.12,3.13,3.39,3.3,2.93,3.21,3.13,2.84,2.51,2.44,2.3,2.05,2.0,2.0,1.9,1.84,1.69,1.45,1.52,1.31,1.13,0.97,0.89,0.81,0.66,0.58,0.51,0.49,0.37,0.98,0.26,0.17,0.16,0.14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,7.85,6.94,5.0,4.57,4.14,3.34,3.98,3.97,3.45,3.2,3.1,3.36,3.22,2.9,3.15,3.14,2.84,2.56,2.39,2.28,2.05,2.04,1.93,1.85,1.82,1.75,1.53,1.53,1.3,1.15,1.05,0.87,0.82,0.74,0.57,0.51,0.49,0.4,0.98,0.26,0.18,0.17,0.13,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/04/2021,7.85,6.94,5.0,4.57,4.14,3.34,3.98,3.97,3.45,3.2,3.1,3.36,3.22,2.9,3.15,3.14,2.84,2.56,2.39,2.28,2.05,2.04,1.93,1.85,1.82,1.75,1.53,1.53,1.3,1.15,1.05,0.87,0.82,0.74,0.57,0.51,0.49,0.4,0.98,0.26,0.18,0.17,0.13,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/05/2021,7.85,6.94,5.0,4.57,4.14,3.34,3.98,3.97,3.45,3.2,3.1,3.36,3.22,2.9,3.15,3.14,2.84,2.56,2.39,2.28,2.05,2.04,1.93,1.85,1.82,1.75,1.53,1.53,1.3,1.15,1.05,0.87,0.82,0.74,0.57,0.51,0.49,0.4,0.98,0.26,0.18,0.17,0.13,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
10/04/2021,7.55,6.14,5.02,4.33,4.21,0.0,3.32,3.71,3.37,4.34,2.13,3.12,3.12,3.53,2.95,2.91,3.12,2.35,2.4,2.39,1.88,1.61,0.97,4.12,2.17,3.66,1.48,0.98,0.65,1.15,1.49,0.87,0.91,0.6,0.0,0.5,0.49,0.38,1.12,0.25,0.18,0.0,0.14,0.0,0.0,2.67,0.58,0.5,0.49,0.15,0.0,0.0,0.0,100.0
10/25/2021,7.79,6.19,4.88,4.3,4.5,0.0,3.25,3.56,3.46,4.45,2.22,3.03,3.05,3.61,2.84,2.75,3.09,0.0,2.49,2.35,1.92,1.6,0.97,4.13,2.19,3.54,1.44,0.93,0.67,1.17,1.5,0.89,0.97,0.69,0.0,0.49,0.49,0.37,1.09,0.25,0.19,0.0,0.14,0.0,0.0,2.45,0.59,0.49,0.0,0.16,2.43,0.48,0.0,100.04
