,WAT,DHR,ROP,AWK,ECL,ITRI,XYL,WMS,WTRG,TTC,AOS,IEX,PNR,TTEK,AQUA,VMI,RXN,WTS,BMI,AWR,FELE,CWT,MWA,SAJA.,ERII,MLI,LNN,MSEX,SJW,STN.TO,GRC,YORW,AGPXX,CWCO,NWPX,ARTNA,GWRS,Global Water Resources Inc,003000.KS,Cash/Receivables/Payables,AP4.SI,n/a,SBS,STN,ZWS,RBC,SUM
07/09/2021,8.71,8.51,8.24,8.06,7.61,4.03,3.99,3.94,3.88,3.88,3.87,3.85,3.82,3.71,2.98,2.8,2.78,1.98,1.71,1.55,1.34,1.21,1.19,1.07,1.05,0.95,0.88,0.68,0.66,0.26,0.21,0.16,0.14,0.12,0.12,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/12/2021,8.86,8.38,8.27,8.09,7.65,3.94,3.96,3.95,3.88,3.93,3.85,3.89,3.88,3.67,2.91,2.8,2.84,1.96,1.69,1.55,1.35,1.22,1.21,1.04,0.99,0.95,0.86,0.68,0.66,0.26,0.21,0.15,0.15,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,8.86,8.38,8.27,8.09,7.65,3.94,3.96,3.95,3.88,3.93,3.85,3.89,3.88,3.67,2.91,2.8,2.84,1.96,1.69,1.55,1.35,1.22,1.21,1.04,0.99,0.95,0.86,0.68,0.66,0.26,0.21,0.15,0.15,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,8.86,8.37,8.27,8.09,7.65,3.94,3.96,3.95,3.88,3.93,3.85,3.89,3.88,3.66,2.91,2.8,2.84,1.96,1.69,1.55,1.35,1.22,1.21,1.04,0.99,0.95,0.86,0.68,0.66,0.26,0.21,0.15,0.15,0.12,0.11,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,8.82,8.34,8.24,8.08,7.63,3.94,3.96,4.0,3.82,3.9,3.85,3.88,3.92,3.67,2.88,2.82,2.87,1.98,1.69,1.55,1.36,1.22,1.21,1.09,1.02,0.95,0.86,0.69,0.66,0.26,0.21,0.15,0.14,0.12,0.12,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,8.85,8.37,8.29,8.1,7.66,3.92,3.96,3.97,3.81,3.85,3.87,3.88,3.92,3.66,2.83,2.79,2.83,1.98,1.67,1.55,1.34,1.22,1.22,1.08,1.02,0.94,0.85,0.79,0.66,0.26,0.21,0.15,0.15,0.12,0.12,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,8.93,8.48,8.35,8.28,7.71,3.85,3.93,3.87,3.85,3.88,3.85,3.9,3.93,3.63,2.76,2.72,2.77,1.94,1.65,1.57,1.34,1.24,1.21,1.09,0.98,0.93,0.83,0.74,0.67,0.26,0.21,0.16,0.18,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/20/2021,8.9,8.61,8.36,8.4,7.75,3.64,3.91,3.86,3.91,3.87,3.81,3.94,3.88,3.63,2.77,2.69,2.72,1.93,1.62,1.61,1.34,1.28,1.18,1.12,0.96,0.92,0.83,0.77,0.68,0.26,0.21,0.16,0.13,0.12,0.12,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,8.87,8.51,8.39,8.26,7.65,3.7,3.95,4.01,3.85,3.87,3.79,3.94,3.87,3.67,2.83,2.72,2.73,1.95,1.69,1.61,1.35,1.26,1.19,1.06,0.97,0.95,0.82,0.77,0.68,0.26,0.21,0.16,0.13,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/26/2021,8.98,8.66,8.38,8.14,7.67,3.78,3.96,4.04,3.81,3.8,3.7,3.9,3.79,3.68,2.86,2.74,2.85,1.95,1.64,1.59,1.33,1.25,1.17,1.07,0.97,0.95,0.82,0.77,0.66,0.26,0.2,0.16,0.13,0.12,0.11,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,9.03,8.61,8.35,8.17,7.67,3.78,3.95,4.05,3.85,3.83,3.71,3.87,3.76,3.73,2.85,2.74,2.82,1.94,1.65,1.59,1.34,1.25,1.17,1.03,0.96,0.96,0.82,0.77,0.67,0.26,0.2,0.16,0.14,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
