,CCI,PLD,DLR,EQIX,SBAC,DRE,WELL,VTR,UDR,CUBE,ELS,EXR,MAA,VER,CBRE,GLPI,NNN,INVH,AMH,SUI,VICI,SRC,REG,KIM,WY,IRM,AIRC,MPW,LXP,LAMR,HIW,DRH,WRE,AAT,RLJ,PDM,RLGY,CLI,BDN,RHP,4880.T,4551.T,n/a,688185.SS,PECO,HST,CYXT,FCPT,VRE,O,HTA,ONL,TPLXX,UE,SUM
07/09/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,9.71,8.41,7.55,6.5,6.3,5.28,4.83,3.32,2.96,2.88,2.67,2.65,2.62,2.43,2.3,2.15,2.11,2.02,1.88,1.85,1.78,1.47,1.44,1.44,1.41,1.4,1.36,1.26,1.06,1.04,0.83,0.78,0.75,0.63,0.62,0.6,0.53,0.52,0.48,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
