,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,NVDA,TSLA,JPM,JNJ,V,UNH,BRK.B,NESN.SW,HD,MA,PYPL,PG,DIS,BAC,ADBE,ASML.AS,ROG.SW,CMCSA,XOM,NFLX,CRM,INTC,VZ,CSCO,PFE,KO,WMT,ABT,MC.PA,T,CVX,NOVN.SW,TMO,ABBV,NKE,PEP,MRK,ACN,LLY,AVGO,7203.T,DHR,COST,TXN,WFC,SHOP,MDT,MCD,AZN.L,QCOM,ORCL,ULVR.L,1299.HK,UNP,UPS,PM,NOVO B.CO,BMY,HON,LIN,NEE,SAP.DE,LOW,BLK,C,AMGN,INTU,RY.TO,6758.T,RTX,BA,SBUX,GS,CBA.AX,AMAT,AMT,TD.TO,SIE.DE,TGT,IBM,MS,HSBA.L,CAT,AXP,SAN.PA,GE,DGE.L,OR.PA,MMM,ISRG,NOW,AMD,TTE.PA,SPGI,BHP.AX,DE,CVS,CHTR,SCHW,ALV.DE,GSK.L,SQ,LMT,MU,PLD,RIO.L,6861.T,BKNG,FIS,ANTM,ZTS,CSL.AX,ADP,SU.PA,MO,CCI,GILD,LRCX,BP.L,MDLZ,9984.T,SYK,TMUS,ENB.TO,COP,ZM,RDSA.AS,AI.PA,TJX,CI,BATS.L,CNR.TO,FDX,DUK,CSX,RYDBF,IBE.MC,TFC,BNS.TO,DAI.DE,AIR.PA,ENEL.MI,USB,PNC,CME,ITW,CB,MMC,NSC,8035.T,388.HK,ADS.DE,BNP.PA,DTE.DE,EW,SHW,6098.T,DPW.DE,BAS.DE,EL,ATVI,BDX,EQIX,GM,COF,MELI,ILMN,MRNA,8306.T,TWLO,4063.T,BAM.A.TO,NAB.AX,SNAP,IDXX,REGN,BSX,ABBN.SW,ETN,XTSLA,WBC.AX,RITN.,BHP.L,7974.T,BMO.TO,BX,CL,FISV,MCO,ICE,ADSK,APD,SAN.MC,KER.PA,LONN.SW,RKT.L,NXPI,ADYEN.AS,HUM,SO,D,WM,HCA,9433.T,UBSG.SW,GE.,7741.T,6367.T,ZURN.SW,AON,PRX.AS,BAM,ADI,EMR,SUM
07/09/2021,4.07,3.39,2.69,1.45,1.31,1.29,0.88,0.87,0.78,0.75,0.68,0.66,0.65,0.61,0.59,0.57,0.56,0.56,0.54,0.52,0.5,0.5,0.47,0.45,0.45,0.41,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.400000000000006
07/12/2021,4.14,3.41,2.75,1.43,1.31,1.29,0.85,0.87,0.77,0.76,0.68,0.66,0.64,0.63,0.59,0.57,0.57,0.57,0.54,0.51,0.51,0.49,0.47,0.45,0.44,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.37,0.35,0.34,0.34,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.31,0.31,0.29,0.3,0.28,0.3,0.29,0.27,0.27,0.28,0.27,0.25,0.25,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.23,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.48000000000001
07/13/2021,4.14,3.41,2.75,1.43,1.31,1.29,0.85,0.87,0.77,0.76,0.68,0.66,0.64,0.63,0.59,0.57,0.57,0.57,0.54,0.51,0.51,0.49,0.47,0.45,0.44,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.37,0.35,0.34,0.34,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.31,0.31,0.29,0.3,0.28,0.3,0.29,0.27,0.27,0.28,0.27,0.25,0.25,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.23,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.48000000000001
07/14/2021,4.15,3.38,2.71,1.43,1.3,1.28,0.84,0.86,0.79,0.75,0.68,0.66,0.65,0.62,0.59,0.56,0.58,0.56,0.55,0.52,0.5,0.5,0.47,0.45,0.44,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.34,0.34,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.29,0.31,0.29,0.3,0.3,0.27,0.27,0.28,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.25,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.40000000000001
07/15/2021,4.15,3.38,2.71,1.43,1.3,1.28,0.84,0.86,0.79,0.75,0.68,0.66,0.65,0.62,0.59,0.56,0.58,0.56,0.55,0.52,0.5,0.5,0.47,0.45,0.44,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.34,0.34,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.29,0.31,0.29,0.3,0.3,0.27,0.27,0.28,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.25,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.40000000000001
07/16/2021,4.15,3.41,2.68,1.44,1.31,1.3,0.85,0.88,0.79,0.75,0.69,0.67,0.65,0.62,0.58,0.58,0.58,0.56,0.56,0.52,0.5,0.51,0.47,0.44,0.44,0.41,0.38,0.39,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.33,0.34,0.33,0.33,0.33,0.31,0.31,0.29,0.3,0.29,0.29,0.3,0.28,0.27,0.28,0.27,0.26,0.25,0.25,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58000000000001
07/19/2021,4.26,3.43,2.66,1.41,1.32,1.3,0.8,0.86,0.79,0.75,0.71,0.67,0.65,0.62,0.59,0.59,0.57,0.57,0.57,0.5,0.5,0.51,0.47,0.45,0.43,0.41,0.37,0.38,0.39,0.38,0.38,0.39,0.37,0.36,0.36,0.34,0.34,0.35,0.35,0.35,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.31,0.32,0.29,0.31,0.28,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.27,0.27,0.26,0.28,0.26,0.26,0.26,0.25,0.23,0.24,0.25,0.23,0.24,0.24,0.22,0.21,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.13,0.12,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.1,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.690000000000005
07/20/2021,4.26,3.43,2.66,1.41,1.32,1.3,0.8,0.86,0.79,0.75,0.71,0.67,0.65,0.62,0.59,0.59,0.57,0.57,0.57,0.5,0.5,0.51,0.47,0.45,0.43,0.41,0.37,0.38,0.39,0.38,0.38,0.39,0.37,0.36,0.36,0.34,0.34,0.35,0.35,0.35,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.31,0.32,0.29,0.31,0.28,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.27,0.27,0.26,0.28,0.26,0.26,0.26,0.25,0.23,0.24,0.25,0.23,0.24,0.24,0.22,0.21,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.13,0.12,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.1,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.690000000000005
07/21/2021,4.22,3.45,2.63,1.41,1.34,1.31,0.77,0.85,0.78,0.75,0.71,0.68,0.65,0.62,0.59,0.59,0.57,0.58,0.56,0.5,0.51,0.51,0.48,0.45,0.42,0.4,0.37,0.38,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.34,0.33,0.35,0.35,0.36,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.29,0.31,0.28,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.27,0.27,0.26,0.28,0.26,0.26,0.26,0.25,0.23,0.24,0.25,0.24,0.24,0.23,0.22,0.21,0.23,0.22,0.21,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.15,0.12,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67000000000001
07/22/2021,4.18,3.46,2.66,1.42,1.33,1.3,0.81,0.87,0.76,0.76,0.7,0.67,0.65,0.63,0.6,0.57,0.58,0.59,0.55,0.49,0.51,0.5,0.48,0.45,0.41,0.41,0.38,0.38,0.39,0.39,0.39,0.39,0.37,0.37,0.35,0.34,0.33,0.35,0.36,0.36,0.35,0.37,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.29,0.31,0.29,0.29,0.29,0.27,0.28,0.29,0.27,0.25,0.25,0.26,0.27,0.28,0.26,0.27,0.26,0.26,0.26,0.25,0.23,0.23,0.25,0.24,0.23,0.23,0.22,0.2,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.21,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.17,0.15,0.17,0.15,0.16,0.16,0.17,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.13,0.16,0.15,0.15,0.16,0.13,0.13,0.13,0.13,0.15,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.13,0.12,0.11,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.17,0.12,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.61000000000001
