,B 0 08/26/21,URC.V,XOM,CVX,BRK.B,AMT,JPM,AMZN,PLD,CCI,COP,BAC,FB,EQIX,PYPL,HON,UPS,EOG,PSA,UNP,GOOGL,GOOG,NFLX,WFC,SPG,SLB,DLR,CRM,BA,CSCO,RTX,CAT,GE,MPC,PXD,MMM,PSX,SBAC,WELL,DE,C,KMI,MS,ZM,WMB,GS,AVB,CBRE,VLO,BLK,LMT,EQR,SNAP,WY,SCHW,OXY,DOCU,AXP,O,TWTR,ARE,OKE,PINS,SPGI,FDX,HES,MTCH,EXR,EBAY,VEEV,WDAY,VTR,NSC,ITW,ESS,HAL,MAA,PNC,OKTA,ETN,USB,PEAK,ETSY,EMR,DRE,CME,TFC,WM,CB,NOC,MMC,FANG,DDOG,DVN,COF,BXP,VRSN,TDOC,COUP,BKR,ICE,EXPE,ROP,JCI,W,UDR,ANET,AKAM,TT,LHX,MCO,PGR,Z,GDDY,GD,INFO,CTXS,AON,IRM,SNOW,PH,HST,CARR,CMI,TDG,TROW,MET,MSCI,MRO,ROK,REG,SWK,DBX,CTAS,OTIS,NTNX,CIEN,JNPR,LUV,AIG,BK,AME,PRU,PCAR,FAST,KIM,ALL,EFX,VRSK,TRV,DAL,CPRT,DFS,FRT,FSLY,GNRC,KSU,AFL,FRC,APA,CSX,COMM,VNO,ODFL,FTV,BOX,RSG,URI,WLTW,SIVB,BMBL,STT,AJG,DOV,AMP,EXPD,XYL,COG,CLDR,VG,FITB,SYF,TDY,GWW,NOV,IR,NTRS,J,UAL,HIG,IEX,HBAN,TXT,KEY,NDAQ,CFG,MAS,RF,WAB,MTB,U.S. Bank Money Market Deposit Account,Bumble Inc Ordinary Shares Class A,LDOS,JBHT,AAL,FBHS,GE.,n/a,CINF,BIDI11.SA,PWR,SUM
07/09/2021,9.57,7.53,4.31,3.3,2.14,2.11,1.92,1.52,1.51,1.43,1.36,1.27,1.25,1.21,0.9,0.82,0.81,0.81,0.8,0.8,0.79,0.77,0.76,0.76,0.76,0.74,0.74,0.72,0.71,0.7,0.7,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.59,0.59,0.58,0.55,0.54,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.47,0.46,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.17
07/12/2021,0.0,0.0,4.97,3.87,2.58,2.63,2.27,1.98,1.88,1.79,1.55,1.47,1.5,1.52,1.11,0.99,1.0,0.92,0.99,0.99,0.99,0.96,0.92,0.88,0.88,0.83,0.92,0.89,0.83,0.85,0.84,0.76,0.74,0.72,0.71,0.75,0.7,0.77,0.75,0.71,0.69,0.69,0.66,0.66,0.62,0.61,0.64,0.61,0.57,0.63,0.61,0.58,0.54,0.55,0.51,0.48,0.56,0.54,0.54,0.54,0.54,0.48,0.48,0.49,0.47,0.44,0.46,0.49,0.47,0.48,0.47,0.46,0.44,0.42,0.43,0.37,0.43,0.39,0.41,0.39,0.37,0.39,0.37,0.38,0.39,0.36,0.35,0.36,0.36,0.36,0.36,0.31,0.36,0.32,0.34,0.34,0.34,0.32,0.35,0.31,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.3,0.29,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.23,0.23,0.23,0.21,0.23,0.2,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.0,0.44,0.13,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87
07/13/2021,0.0,0.0,4.97,3.87,2.58,2.63,2.27,1.98,1.88,1.79,1.55,1.47,1.5,1.52,1.11,0.99,1.0,0.92,0.99,0.99,0.99,0.96,0.92,0.88,0.88,0.83,0.92,0.89,0.83,0.85,0.84,0.76,0.74,0.72,0.71,0.75,0.7,0.77,0.75,0.71,0.69,0.69,0.66,0.66,0.62,0.61,0.64,0.61,0.57,0.63,0.61,0.58,0.54,0.55,0.51,0.48,0.56,0.54,0.54,0.54,0.54,0.48,0.48,0.49,0.47,0.44,0.46,0.49,0.47,0.48,0.47,0.46,0.44,0.42,0.43,0.37,0.43,0.39,0.41,0.39,0.37,0.39,0.37,0.38,0.39,0.36,0.35,0.36,0.36,0.36,0.36,0.31,0.36,0.32,0.34,0.34,0.34,0.32,0.35,0.31,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.3,0.29,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.23,0.23,0.23,0.21,0.23,0.2,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.0,0.44,0.13,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87
07/14/2021,0.0,0.0,5.0,3.89,2.56,2.65,2.26,2.01,1.9,1.8,1.57,1.44,1.49,1.54,1.12,1.0,1.0,0.92,1.0,0.95,0.99,0.97,0.92,0.86,0.88,0.84,0.93,0.89,0.85,0.86,0.85,0.76,0.74,0.72,0.72,0.75,0.69,0.77,0.76,0.7,0.68,0.69,0.64,0.65,0.63,0.6,0.65,0.6,0.56,0.62,0.61,0.59,0.52,0.56,0.5,0.49,0.56,0.54,0.54,0.52,0.55,0.48,0.47,0.49,0.47,0.44,0.47,0.48,0.46,0.48,0.47,0.46,0.41,0.42,0.44,0.38,0.44,0.38,0.42,0.39,0.37,0.39,0.37,0.38,0.39,0.37,0.35,0.36,0.35,0.36,0.36,0.31,0.36,0.32,0.34,0.34,0.34,0.32,0.35,0.31,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.3,0.29,0.3,0.3,0.29,0.27,0.28,0.28,0.28,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.23,0.23,0.22,0.21,0.23,0.2,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.16,0.15,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.0,0.44,0.13,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8
07/15/2021,0.0,0.0,4.98,3.88,2.56,2.62,2.31,1.97,1.92,1.79,1.55,1.48,1.49,1.51,1.12,1.0,0.99,0.94,1.0,0.94,0.98,0.96,0.91,0.88,0.9,0.84,0.93,0.86,0.84,0.84,0.84,0.77,0.74,0.72,0.7,0.74,0.69,0.76,0.77,0.71,0.69,0.69,0.67,0.63,0.62,0.63,0.66,0.6,0.56,0.64,0.6,0.59,0.53,0.56,0.52,0.48,0.55,0.55,0.54,0.54,0.55,0.49,0.45,0.48,0.47,0.45,0.48,0.49,0.46,0.47,0.46,0.47,0.42,0.42,0.44,0.38,0.44,0.39,0.4,0.4,0.38,0.4,0.36,0.38,0.4,0.36,0.36,0.36,0.36,0.36,0.35,0.31,0.36,0.33,0.36,0.35,0.33,0.31,0.33,0.32,0.33,0.32,0.33,0.33,0.31,0.33,0.31,0.29,0.3,0.29,0.29,0.28,0.26,0.27,0.28,0.27,0.25,0.25,0.27,0.29,0.26,0.25,0.26,0.23,0.22,0.23,0.21,0.23,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.18,0.16,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.44,0.13,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.84
07/16/2021,0.0,0.0,4.98,3.88,2.56,2.62,2.31,1.97,1.92,1.79,1.55,1.48,1.49,1.51,1.12,1.0,0.99,0.94,1.0,0.94,0.98,0.96,0.91,0.88,0.9,0.84,0.93,0.86,0.84,0.84,0.84,0.77,0.74,0.72,0.7,0.74,0.69,0.76,0.77,0.71,0.69,0.69,0.67,0.63,0.62,0.63,0.66,0.6,0.56,0.64,0.6,0.59,0.53,0.56,0.52,0.48,0.55,0.55,0.54,0.54,0.55,0.49,0.45,0.48,0.47,0.45,0.48,0.49,0.46,0.47,0.46,0.47,0.42,0.42,0.44,0.38,0.44,0.39,0.4,0.4,0.38,0.4,0.36,0.38,0.4,0.36,0.36,0.36,0.36,0.36,0.35,0.31,0.36,0.33,0.36,0.35,0.33,0.31,0.33,0.32,0.33,0.32,0.33,0.33,0.31,0.33,0.31,0.29,0.3,0.29,0.29,0.28,0.26,0.27,0.28,0.27,0.25,0.25,0.27,0.29,0.26,0.25,0.26,0.23,0.22,0.23,0.21,0.23,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.18,0.16,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.44,0.13,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.84
07/19/2021,0.0,0.0,4.93,3.85,2.59,2.67,2.31,1.98,1.94,1.81,1.52,1.44,1.49,1.54,1.13,1.03,1.0,0.91,1.02,0.95,1.01,0.98,0.95,0.91,0.89,0.81,0.94,0.87,0.8,0.86,0.84,0.75,0.73,0.69,0.69,0.77,0.67,0.77,0.78,0.71,0.69,0.68,0.68,0.61,0.61,0.63,0.67,0.6,0.54,0.62,0.6,0.61,0.52,0.55,0.52,0.46,0.53,0.55,0.55,0.55,0.56,0.48,0.43,0.48,0.47,0.43,0.48,0.49,0.46,0.47,0.46,0.48,0.43,0.43,0.45,0.37,0.45,0.39,0.4,0.4,0.38,0.4,0.35,0.38,0.4,0.37,0.36,0.37,0.36,0.35,0.35,0.3,0.35,0.32,0.35,0.35,0.34,0.3,0.32,0.31,0.33,0.32,0.34,0.33,0.29,0.33,0.32,0.3,0.3,0.3,0.3,0.28,0.25,0.27,0.28,0.27,0.26,0.25,0.27,0.28,0.26,0.25,0.26,0.23,0.23,0.23,0.21,0.23,0.19,0.22,0.22,0.22,0.22,0.22,0.22,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.19,0.18,0.15,0.18,0.16,0.17,0.17,0.14,0.16,0.15,0.15,0.16,0.16,0.14,0.16,0.15,0.14,0.15,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.0,0.45,0.12,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.85
07/20/2021,0.0,0.0,4.9,3.84,2.61,2.68,2.32,1.96,1.95,1.82,1.51,1.44,1.48,1.55,1.12,1.06,1.01,0.87,1.02,0.96,1.0,0.98,0.94,0.92,0.89,0.79,0.95,0.85,0.8,0.86,0.84,0.76,0.73,0.68,0.67,0.77,0.66,0.78,0.79,0.71,0.7,0.68,0.68,0.6,0.61,0.63,0.67,0.6,0.54,0.62,0.61,0.61,0.5,0.55,0.52,0.45,0.54,0.56,0.55,0.53,0.56,0.48,0.43,0.49,0.47,0.42,0.48,0.49,0.46,0.46,0.45,0.48,0.43,0.43,0.45,0.36,0.45,0.4,0.39,0.4,0.39,0.41,0.35,0.39,0.4,0.37,0.37,0.37,0.37,0.36,0.35,0.29,0.35,0.31,0.36,0.35,0.34,0.3,0.29,0.3,0.33,0.32,0.34,0.33,0.3,0.33,0.32,0.3,0.3,0.3,0.3,0.27,0.25,0.27,0.28,0.28,0.26,0.26,0.27,0.28,0.26,0.25,0.26,0.23,0.22,0.23,0.21,0.23,0.19,0.23,0.22,0.22,0.22,0.21,0.22,0.19,0.2,0.22,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.17,0.19,0.19,0.18,0.14,0.18,0.16,0.17,0.17,0.14,0.16,0.15,0.15,0.16,0.16,0.13,0.16,0.15,0.14,0.15,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.0,0.47,0.13,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.81
07/21/2021,0.0,0.0,4.81,3.78,2.62,2.72,2.29,1.95,1.98,1.84,1.49,1.43,1.49,1.56,1.13,1.06,1.01,0.86,1.03,0.96,1.01,1.0,0.93,0.91,0.88,0.77,0.96,0.87,0.79,0.87,0.84,0.75,0.73,0.67,0.65,0.77,0.65,0.79,0.81,0.71,0.69,0.68,0.68,0.62,0.61,0.62,0.68,0.6,0.53,0.63,0.61,0.62,0.5,0.55,0.51,0.43,0.55,0.55,0.56,0.53,0.57,0.47,0.43,0.49,0.47,0.42,0.48,0.5,0.46,0.47,0.45,0.48,0.43,0.43,0.46,0.35,0.46,0.39,0.39,0.4,0.39,0.41,0.36,0.39,0.41,0.37,0.36,0.38,0.37,0.36,0.36,0.28,0.36,0.3,0.35,0.36,0.34,0.3,0.28,0.3,0.33,0.32,0.34,0.33,0.3,0.34,0.31,0.31,0.3,0.3,0.3,0.28,0.25,0.27,0.28,0.28,0.27,0.26,0.27,0.28,0.26,0.24,0.26,0.23,0.22,0.23,0.21,0.24,0.18,0.23,0.22,0.22,0.22,0.22,0.23,0.19,0.2,0.21,0.2,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.17,0.19,0.18,0.18,0.15,0.18,0.16,0.17,0.17,0.13,0.16,0.15,0.15,0.16,0.16,0.14,0.16,0.15,0.14,0.15,0.0,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.1,0.0,0.47,0.13,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78
07/22/2021,0.0,0.0,4.81,3.78,2.62,2.72,2.29,1.95,1.98,1.84,1.49,1.43,1.49,1.56,1.13,1.06,1.01,0.86,1.03,0.96,1.01,1.0,0.93,0.91,0.88,0.77,0.96,0.87,0.79,0.87,0.84,0.75,0.73,0.67,0.65,0.77,0.65,0.79,0.81,0.71,0.69,0.68,0.68,0.62,0.61,0.62,0.68,0.6,0.53,0.63,0.61,0.62,0.5,0.55,0.51,0.43,0.55,0.55,0.56,0.53,0.57,0.47,0.43,0.49,0.47,0.42,0.48,0.5,0.46,0.47,0.45,0.48,0.43,0.43,0.46,0.35,0.46,0.39,0.39,0.4,0.39,0.41,0.36,0.39,0.41,0.37,0.36,0.38,0.37,0.36,0.36,0.28,0.36,0.3,0.35,0.36,0.34,0.3,0.28,0.3,0.33,0.32,0.34,0.33,0.3,0.34,0.31,0.31,0.3,0.3,0.3,0.28,0.25,0.27,0.28,0.28,0.27,0.26,0.27,0.28,0.26,0.24,0.26,0.23,0.22,0.23,0.21,0.24,0.18,0.23,0.22,0.22,0.22,0.22,0.23,0.19,0.2,0.21,0.2,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.17,0.19,0.18,0.18,0.15,0.18,0.16,0.17,0.17,0.13,0.16,0.15,0.15,0.16,0.16,0.14,0.16,0.15,0.14,0.15,0.0,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.1,0.0,0.47,0.13,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78
