,4SPX  211130C02173110,4SPX  211130P04346220,4XSP  211130C00217330,4SPX  211130P03621830,4XSP  211130P00434660,4XSP  211130P00362190,4XSP  211130P00217330,Cash&Other,4XSP  211130P00329590,4XSP  211130C00434660,4XSP  211130C00418650,4SPX  211130P02173110,4SPX  211130P03295860,4SPX  211130C04346220,4SPX  211130C04186460,SUM
07/09/2021,102.84,4.33,2.85,1.12,0.12,0.03,-0.01,-0.01,-0.02,-0.1,-0.18,-0.23,-0.63,-3.75,-6.36,100.0
07/12/2021,104.06,3.99,2.89,1.08,0.11,0.03,-0.01,-0.01,-0.02,-0.11,-0.19,-0.23,-0.63,-4.14,-6.83,99.99
07/13/2021,104.06,3.99,2.89,1.08,0.11,0.03,-0.01,-0.01,-0.02,-0.11,-0.19,-0.23,-0.63,-4.14,-6.83,99.99
07/14/2021,104.06,3.99,2.89,1.08,0.11,0.03,-0.01,-0.01,-0.02,-0.11,-0.19,-0.23,-0.63,-4.14,-6.83,99.99
07/15/2021,104.74,3.86,2.91,1.04,0.11,0.03,-0.01,-0.02,-0.02,-0.12,-0.2,-0.21,-0.59,-4.39,-7.13,100.0
07/16/2021,104.17,4.1,2.9,1.12,0.11,0.03,-0.01,-0.02,-0.02,-0.12,-0.19,-0.22,-0.64,-4.25,-6.97,99.99
07/19/2021,103.61,4.23,2.88,1.13,0.12,0.03,-0.01,-0.03,-0.02,-0.11,-0.19,-0.2,-0.64,-4.08,-6.74,99.98000000000002
07/20/2021,102.32,4.66,2.85,1.26,0.13,0.03,-0.01,-0.03,-0.02,-0.1,-0.17,-0.23,-0.71,-3.71,-6.28,99.99
07/21/2021,102.32,4.66,2.85,1.26,0.13,0.03,-0.01,-0.03,-0.02,-0.1,-0.17,-0.23,-0.71,-3.71,-6.28,99.99
07/22/2021,100.12,5.5,2.78,1.56,0.15,0.04,-0.01,-0.03,-0.02,-0.09,-0.15,-0.3,-0.89,-3.12,-5.54,100.0
07/23/2021,102.61,4.6,2.85,1.29,0.13,0.04,-0.01,-0.03,-0.02,-0.11,-0.18,-0.26,-0.74,-3.78,-6.39,100.0
07/26/2021,104.25,4.0,2.9,1.07,0.11,0.03,-0.01,-0.04,-0.02,-0.12,-0.19,-0.22,-0.61,-4.21,-6.96,99.98
07/27/2021,105.78,3.66,2.94,0.99,0.1,0.03,-0.01,-0.04,-0.02,-0.13,-0.21,-0.21,-0.57,-4.75,-7.57,99.99
07/28/2021,105.78,3.66,2.94,0.99,0.1,0.03,-0.01,-0.04,-0.02,-0.13,-0.21,-0.21,-0.57,-4.75,-7.57,99.99
07/29/2021,106.4,3.52,2.96,0.94,0.1,0.03,-0.01,-0.05,-0.01,-0.14,-0.22,-0.2,-0.54,-4.97,-7.82,99.99
07/30/2021,105.3,3.86,2.93,1.07,0.11,0.03,-0.01,-0.05,-0.02,-0.13,-0.21,-0.23,-0.62,-4.63,-7.41,99.99
08/02/2021,105.98,3.57,2.95,0.94,0.1,0.03,-0.01,-0.05,-0.01,-0.13,-0.21,-0.2,-0.54,-4.79,-7.61,100.02
08/03/2021,105.53,3.66,2.93,0.96,0.1,0.03,-0.01,-0.06,-0.02,-0.13,-0.21,-0.2,-0.55,-4.63,-7.42,99.98
08/04/2021,105.53,3.66,2.93,0.96,0.1,0.03,-0.01,-0.06,-0.02,-0.13,-0.21,-0.2,-0.55,-4.63,-7.42,99.98
08/05/2021,105.13,3.81,2.92,1.01,0.11,0.03,-0.01,-0.06,-0.02,-0.13,-0.2,-0.21,-0.58,-4.51,-7.29,100.0
08/06/2021,106.09,3.47,2.95,0.91,0.1,0.02,-0.01,-0.06,-0.01,-0.13,-0.21,-0.19,-0.52,-4.79,-7.62,100.0
08/10/2021,106.78,3.08,2.97,0.76,0.09,0.02,0.0,-0.07,-0.01,-0.14,-0.22,-0.15,-0.43,-4.89,-7.79,100.0
08/11/2021,106.78,3.08,2.97,0.76,0.09,0.02,0.0,-0.07,-0.01,-0.14,-0.22,-0.15,-0.43,-4.89,-7.79,100.0
08/12/2021,106.62,3.12,2.96,0.78,0.09,0.02,0.0,-0.08,-0.01,-0.13,-0.22,-0.15,-0.43,-4.82,-7.75,100.0
08/13/2021,106.64,3.11,2.97,0.76,0.09,0.02,0.0,-0.08,-0.01,-0.13,-0.22,-0.14,-0.42,-4.85,-7.74,100.0
08/16/2021,107.59,2.75,2.94,0.65,0.07,0.02,0.0,-0.02,-0.01,-0.14,-0.22,-0.11,-0.35,-5.11,-8.07,99.99
08/17/2021,107.91,2.68,2.95,0.64,0.07,0.02,0.0,-0.02,-0.01,-0.14,-0.22,-0.12,-0.35,-5.2,-8.2,100.01
08/18/2021,107.91,2.68,2.95,0.64,0.07,0.02,0.0,-0.02,-0.01,-0.14,-0.22,-0.12,-0.35,-5.2,-8.2,100.01
08/19/2021,108.46,2.6,2.97,0.62,0.07,0.02,0.0,-0.02,-0.01,-0.15,-0.23,-0.11,-0.35,-5.42,-8.45,100.0
08/20/2021,107.28,2.92,2.94,0.7,0.08,0.02,0.0,-0.02,-0.01,-0.14,-0.22,-0.14,-0.4,-5.03,-7.98,100.0
08/23/2021,105.87,3.53,2.9,0.92,0.1,0.02,0.0,-0.03,-0.01,-0.13,-0.21,-0.17,-0.53,-4.71,-7.56,99.99
08/24/2021,107.0,2.96,2.91,0.72,0.08,0.02,0.0,0.01,-0.01,-0.13,-0.21,-0.13,-0.4,-4.93,-7.88,100.01
08/25/2021,107.0,2.96,2.91,0.72,0.08,0.02,0.0,0.01,-0.01,-0.13,-0.21,-0.13,-0.4,-4.93,-7.88,100.01
08/26/2021,108.64,2.52,2.96,0.62,0.07,0.02,0.0,0.01,-0.01,-0.15,-0.23,-0.11,-0.35,-5.47,-8.52,100.0
08/27/2021,108.76,2.51,2.96,0.61,0.07,0.02,0.0,0.01,-0.01,-0.15,-0.23,-0.1,-0.35,-5.52,-8.57,100.01
08/30/2021,108.22,2.65,2.95,0.65,0.07,0.02,0.0,0.0,-0.01,-0.14,-0.23,-0.11,-0.37,-5.34,-8.36,100.0
08/31/2021,109.63,2.24,2.98,0.54,0.06,0.01,0.0,0.0,-0.01,-0.16,-0.24,-0.09,-0.31,-5.77,-8.89,99.99
09/01/2021,109.63,2.24,2.98,0.54,0.06,0.01,0.0,0.0,-0.01,-0.16,-0.24,-0.09,-0.31,-5.77,-8.89,99.99
09/02/2021,110.44,2.05,3.11,0.48,0.06,0.01,0.0,-0.03,-0.01,-0.17,-0.26,-0.08,-0.27,-6.09,-9.25,99.99
09/03/2021,110.23,2.09,3.07,0.49,0.06,0.01,0.0,0.01,-0.01,-0.17,-0.25,-0.09,-0.29,-6.0,-9.15,99.99999999999996
09/06/2021,110.68,1.93,3.08,0.45,0.05,0.01,0.0,0.0,-0.01,-0.17,-0.26,-0.07,-0.26,-6.14,-9.32,99.97
09/07/2021,110.72,1.92,3.08,0.46,0.05,0.01,0.0,0.0,-0.01,-0.17,-0.26,-0.07,-0.27,-6.14,-9.33,99.99
09/08/2021,110.72,1.92,3.08,0.46,0.05,0.01,0.0,0.0,-0.01,-0.17,-0.26,-0.07,-0.27,-6.14,-9.33,99.99
09/09/2021,110.72,1.92,3.08,0.46,0.05,0.01,0.0,0.0,-0.01,-0.17,-0.26,-0.07,-0.27,-6.14,-9.33,99.99
09/10/2021,110.02,2.08,3.06,0.5,0.06,0.01,0.0,0.0,-0.01,-0.16,-0.25,-0.08,-0.29,-5.9,-9.05,99.98999999999998
09/13/2021,108.98,2.26,3.03,0.51,0.06,0.01,0.0,-0.01,-0.01,-0.15,-0.24,-0.07,-0.28,-5.51,-8.58,100.0
09/14/2021,107.75,2.54,3.0,0.6,0.07,0.02,0.0,-0.02,-0.01,-0.14,-0.22,-0.08,-0.33,-5.09,-8.08,100.01
09/15/2021,107.75,2.54,3.0,0.6,0.07,0.02,0.0,-0.02,-0.01,-0.14,-0.22,-0.08,-0.33,-5.09,-8.08,100.01
09/16/2021,108.16,2.29,3.01,0.51,0.06,0.01,0.0,-0.02,-0.01,-0.14,-0.23,-0.06,-0.29,-5.12,-8.19,99.98
09/17/2021,107.0,2.45,2.98,0.52,0.07,0.01,0.0,-0.02,-0.01,-0.13,-0.21,-0.07,-0.28,-4.65,-7.65,100.01
09/20/2021,107.96,2.16,3.0,0.44,0.06,0.01,0.0,-0.03,-0.01,-0.14,-0.22,-0.05,-0.24,-4.95,-8.0,99.99
09/21/2021,106.38,2.57,2.97,0.51,0.07,0.01,0.0,-0.02,-0.01,-0.12,-0.21,-0.07,-0.28,-4.42,-7.38,100.0
09/22/2021,106.38,2.57,2.97,0.51,0.07,0.01,0.0,-0.02,-0.01,-0.12,-0.21,-0.07,-0.28,-4.42,-7.38,100.0
09/23/2021,103.25,3.64,2.88,0.79,0.1,0.02,0.0,-0.02,-0.01,-0.1,-0.18,-0.1,-0.42,-3.58,-6.28,99.99
09/24/2021,102.88,3.58,2.87,0.7,0.1,0.02,0.0,-0.02,-0.01,-0.09,-0.17,-0.08,-0.37,-3.36,-6.05,100.0
09/27/2021,106.17,2.13,3.61,0.36,0.07,0.01,0.0,0.02,-0.01,-0.15,-0.25,-0.04,-0.19,-4.37,-7.38,99.97999999999998
09/28/2021,106.38,1.96,3.62,0.31,0.07,0.01,0.0,0.02,-0.01,-0.15,-0.25,-0.03,-0.17,-4.36,-7.4,99.99999999999996
09/29/2021,106.38,1.96,3.62,0.31,0.07,0.01,0.0,0.02,-0.01,-0.15,-0.25,-0.03,-0.17,-4.36,-7.4,99.99999999999996
09/30/2021,105.73,2.08,3.59,0.34,0.07,0.01,0.0,0.02,-0.01,-0.14,-0.24,-0.03,-0.17,-4.12,-7.13,100.0
10/01/2021,102.41,3.15,3.48,0.52,0.11,0.02,0.0,0.02,-0.01,-0.11,-0.2,-0.05,-0.26,-3.19,-5.88,100.01
10/04/2021,100.57,3.5,3.42,0.52,0.12,0.02,0.0,0.01,-0.01,-0.09,-0.17,-0.04,-0.25,-2.52,-5.07,100.01
10/05/2021,102.27,2.89,3.48,0.42,0.1,0.01,0.0,0.01,-0.01,-0.1,-0.19,-0.03,-0.2,-2.97,-5.68,100.0
10/06/2021,102.27,2.89,3.48,0.42,0.1,0.01,0.0,0.01,-0.01,-0.1,-0.19,-0.03,-0.2,-2.97,-5.68,100.0
10/07/2021,100.14,3.48,3.41,0.48,0.12,0.02,0.0,0.0,-0.01,-0.08,-0.16,-0.03,-0.22,-2.32,-4.83,100.0
10/08/2021,101.71,2.91,3.46,0.38,0.1,0.01,0.0,0.0,-0.01,-0.09,-0.18,-0.03,-0.17,-2.7,-5.38,100.00999999999998
10/11/2021,102.47,2.68,3.48,0.34,0.09,0.01,0.0,0.0,-0.01,-0.1,-0.19,-0.02,-0.16,-2.93,-5.66,100.0
10/12/2021,103.34,2.24,3.51,0.25,0.08,0.01,0.0,-0.01,0.0,-0.1,-0.2,-0.02,-0.11,-3.07,-5.91,100.01000000000002
10/13/2021,103.34,2.24,3.51,0.25,0.08,0.01,0.0,-0.01,0.0,-0.1,-0.2,-0.02,-0.11,-3.07,-5.91,100.01000000000002
10/14/2021,102.14,2.43,3.45,0.23,0.08,0.01,0.0,0.03,0.0,-0.09,-0.18,-0.02,-0.1,-2.61,-5.37,100.0
10/15/2021,101.26,2.58,3.42,0.26,0.09,0.01,0.0,0.03,0.0,-0.08,-0.17,-0.02,-0.12,-2.3,-4.96,100.0
10/18/2021,105.25,1.46,3.56,0.16,0.05,0.01,0.0,0.02,0.0,-0.12,-0.22,-0.01,-0.08,-3.49,-6.58,100.01
10/19/2021,106.62,1.23,3.6,0.14,0.04,0.0,0.0,0.01,0.0,-0.13,-0.24,-0.01,-0.07,-4.0,-7.2,99.99
10/20/2021,106.62,1.23,3.6,0.14,0.04,0.0,0.0,0.01,0.0,-0.13,-0.24,-0.01,-0.07,-4.0,-7.2,99.99
10/21/2021,107.17,1.1,3.62,0.12,0.04,0.0,0.0,0.01,0.0,-0.14,-0.25,-0.01,-0.06,-4.19,-7.42,99.99
10/22/2021,108.65,0.87,3.67,0.09,0.03,0.0,0.0,-0.01,0.0,-0.16,-0.27,-0.01,-0.04,-4.75,-8.07,100.0
10/25/2021,109.91,0.74,3.72,0.08,0.02,0.0,0.0,-0.02,0.0,-0.18,-0.29,0.0,-0.04,-5.28,-8.67,99.98999999999997
10/26/2021,109.67,0.77,3.71,0.09,0.03,0.0,0.0,-0.02,0.0,-0.17,-0.29,0.0,-0.04,-5.18,-8.56,100.01
10/27/2021,109.67,0.77,3.71,0.09,0.03,0.0,0.0,-0.02,0.0,-0.17,-0.29,0.0,-0.04,-5.18,-8.56,100.01
10/28/2021,110.78,0.62,3.75,0.07,0.02,0.0,0.0,-0.02,0.0,-0.19,-0.31,0.0,-0.03,-5.63,-9.06,100.0
10/29/2021,111.07,0.64,3.76,0.07,0.02,0.0,0.0,-0.03,0.0,-0.2,-0.31,0.0,-0.04,-5.78,-9.21,99.98999999999998
11/01/2021,111.84,0.58,3.78,0.07,0.02,0.0,0.0,-0.03,0.0,-0.21,-0.32,0.0,-0.04,-6.12,-9.58,99.99
11/02/2021,112.66,0.47,3.95,0.06,0.02,0.0,0.0,-0.02,0.0,-0.23,-0.35,0.0,-0.03,-6.52,-10.0,100.01
11/03/2021,112.66,0.47,3.95,0.06,0.02,0.0,0.0,-0.02,0.0,-0.23,-0.35,0.0,-0.03,-6.52,-10.0,100.01
11/04/2021,112.54,0.46,3.95,0.06,0.02,0.0,0.0,-0.02,0.0,-0.23,-0.35,0.0,-0.03,-6.47,-9.93,100.0
11/05/2021,113.31,0.4,3.98,0.05,0.01,0.0,0.0,-0.02,0.0,-0.24,-0.36,0.0,-0.03,-6.81,-10.29,100.00000000000004
11/08/2021,115.56,0.27,4.06,0.04,0.01,0.0,0.0,-0.03,0.0,-0.27,-0.4,0.0,-0.02,-7.82,-11.41,99.99000000000001
