,B 0 07/15/21,B 0 07/29/21,Citi Tri Party Repo Wisdom Tree,USFR,United States Treasury Bills 0.01%,819.HK,B 0 09/09/21,SUM
07/09/2021,36.15,31.3,28.23,4.32,0.0,0.0,0.0,100.0
07/12/2021,36.15,0.0,0.0,4.33,31.3,28.23,0.0,100.01
07/13/2021,36.15,0.0,0.0,4.33,31.3,28.23,0.0,100.01
07/14/2021,36.15,0.0,0.0,4.32,31.3,28.23,0.0,100.0
07/15/2021,36.15,0.0,0.0,4.32,31.3,28.23,0.0,100.0
07/16/2021,36.15,0.0,0.0,4.32,31.3,28.23,0.0,100.0
07/20/2021,0.0,0.0,0.0,4.28,30.94,29.05,35.74,100.01
07/21/2021,0.0,0.0,0.0,4.28,30.94,29.05,35.74,100.01
07/22/2021,0.0,0.0,0.0,4.28,30.94,29.05,35.74,100.01
07/23/2021,0.0,0.0,0.0,4.28,30.94,29.05,35.74,100.01
