,PZZA,CHUY,RICK,DPZ,FRGI,BLMN,SBUX,DIN,YUM,JACK,CBRL,CMG,DRI,WING,WEN,EAT,TACO,RUTH,LOCO,TXRH,CAKE,MCD,QSR,DASH,SHAK,YUMC,BJRI,FENER.IS,DENN,GRUB,TAST,PLAY,n/a,002960.SZ,STKS,SUM
08/16/2021,5.35,5.22,5.2,5.14,5.0,4.98,4.44,4.39,4.36,4.27,4.23,4.1,3.82,3.66,3.62,3.52,3.21,3.12,2.87,2.58,2.27,2.27,1.96,1.72,1.5,1.27,1.22,1.2,0.97,0.94,0.81,0.8,0.0,0.0,0.0,100.01
08/17/2021,5.45,5.16,5.15,5.16,4.49,5.05,4.5,4.44,4.42,4.33,4.23,4.14,3.83,3.69,3.66,3.53,3.18,3.12,2.87,2.54,2.26,2.3,1.97,1.78,1.47,1.28,1.22,1.32,0.98,0.95,0.77,0.77,0.0,0.0,0.0,100.01
08/18/2021,5.45,5.16,5.15,5.16,4.49,5.05,4.5,4.44,4.42,4.33,4.23,4.14,3.83,3.69,3.66,3.53,3.18,3.12,2.87,2.54,2.26,2.3,1.97,1.78,1.47,1.28,1.22,1.32,0.98,0.95,0.77,0.77,0.0,0.0,0.0,100.01
08/20/2021,5.59,5.07,4.83,5.39,4.54,4.87,4.6,4.31,4.53,4.38,4.26,4.2,3.79,3.73,3.74,3.45,3.17,3.0,2.92,2.64,2.23,2.37,1.99,1.74,1.46,1.29,1.17,1.35,0.94,0.99,0.72,0.74,0.0,0.0,0.0,100.0
08/23/2021,5.65,5.06,4.88,5.37,4.44,4.71,4.57,4.25,4.56,4.53,4.27,4.26,3.83,3.69,3.82,3.48,3.14,2.9,2.96,2.66,2.2,2.37,1.96,1.73,1.43,1.28,1.18,1.37,0.94,1.06,0.73,0.71,0.0,0.0,0.0,99.99
08/24/2021,5.39,5.19,5.04,5.23,4.49,4.73,4.54,4.27,4.53,4.47,4.31,4.26,3.86,3.71,3.77,3.43,3.15,2.97,2.95,2.65,2.22,2.36,1.94,1.73,1.42,1.27,1.18,1.36,0.95,1.06,0.83,0.71,0.0,0.0,0.0,99.97
08/25/2021,5.39,5.19,5.04,5.23,4.49,4.73,4.54,4.27,4.53,4.47,4.31,4.26,3.86,3.71,3.77,3.43,3.15,2.97,2.95,2.65,2.22,2.36,1.94,1.73,1.42,1.27,1.18,0.0,0.95,1.06,0.83,0.71,0.0,1.36,0.0,99.97
08/26/2021,5.35,5.18,4.99,5.18,4.45,4.78,4.51,4.39,4.5,4.44,4.3,4.27,3.91,3.68,3.74,3.53,3.16,2.98,2.95,2.64,2.24,2.35,1.95,1.7,1.43,1.28,1.2,0.0,0.95,1.06,0.82,0.75,0.0,1.35,0.0,100.01
08/27/2021,5.32,5.25,4.86,5.05,4.5,4.92,4.47,4.46,4.41,4.34,4.35,4.25,3.97,3.7,3.63,3.61,3.19,3.06,2.91,2.64,2.27,2.31,1.94,1.73,1.45,1.28,1.24,0.0,0.95,1.07,0.74,0.78,0.0,1.33,0.0,99.98
08/30/2021,5.34,5.34,4.9,5.12,4.4,5.0,4.42,4.57,4.32,4.39,4.35,4.19,4.02,3.67,3.6,3.57,3.15,3.02,2.88,2.66,2.3,2.29,1.94,1.75,1.41,1.26,1.28,0.0,0.95,1.06,0.71,0.8,0.0,1.34,0.0,100.0
