,600519.SS,000858.SZ,000333.SZ,002304.SZ,000651.SZ,2020.HK,000568.SZ,601888.SS,600887.SS,YUMC,2331.HK,603288.SS,603486.SS,002714.SZ,600809.SS,2319.HK,600690.SS,000895.SZ,600132.SS,603369.SS,603833.SS,6862.HK,151.HK,1044.HK,600779.SS,002032.SZ,002508.SZ,Chinese Yuan Renminbi,3799.HK,TRCH,Hong Kong Dollar,Cash,n/a,921.HK,ANSGR.IS,603613.SS,SUM
07/09/2021,15.44,9.69,6.16,5.22,5.03,4.92,4.89,4.82,4.65,4.54,4.35,4.25,3.75,3.52,3.44,3.07,2.9,2.71,1.18,1.14,1.11,1.01,0.88,0.86,0.76,0.66,0.62,0.59,0.3,0.09,0.08,-2.63,0.0,0.0,0.0,0.0,100.0
08/18/2021,13.98,8.75,6.74,4.89,5.05,4.87,4.38,4.63,4.97,4.75,4.47,4.17,3.35,3.09,3.79,3.17,3.33,2.53,1.16,1.05,1.24,0.86,0.96,0.86,0.75,0.62,0.65,0.0,0.3,0.0,0.0,0.0,0.54,0.09,0.0,0.0,99.99
08/19/2021,13.81,8.64,6.97,4.83,5.15,4.9,4.32,4.67,4.9,4.63,4.59,4.11,3.37,3.09,3.8,3.14,3.37,2.58,1.18,1.05,1.34,0.84,0.95,0.85,0.75,0.62,0.64,0.0,0.29,0.0,0.0,0.0,0.54,0.0,0.09,0.0,100.01000000000003
08/20/2021,13.75,8.55,7.07,4.8,5.23,4.86,4.25,4.5,4.9,4.77,4.77,4.12,3.33,3.06,3.66,3.22,3.37,2.66,1.13,1.03,1.32,0.84,0.98,0.86,0.74,0.63,0.67,0.0,0.3,0.0,0.0,0.0,0.56,0.09,0.0,0.0,100.02
08/23/2021,13.62,8.51,7.17,4.94,5.29,4.91,4.26,4.33,4.87,4.67,5.03,4.1,3.36,3.07,3.65,3.26,3.34,2.52,1.18,1.04,1.3,0.81,0.97,0.83,0.76,0.63,0.65,0.0,0.29,0.0,0.0,0.0,0.56,0.09,0.0,0.0,100.01000000000002
08/24/2021,13.79,8.38,7.01,4.98,5.31,5.08,4.24,4.39,4.87,4.73,5.03,4.12,3.31,3.06,3.64,3.3,3.35,2.42,1.07,1.04,1.31,0.81,0.97,0.79,0.77,0.63,0.66,0.0,0.29,0.0,0.0,0.0,0.56,0.09,0.0,0.0,100.0
08/25/2021,13.69,8.07,7.29,4.84,5.38,5.09,4.03,4.41,5.04,4.94,4.92,4.08,3.34,3.14,3.43,3.33,3.38,2.54,1.0,1.04,1.3,0.8,1.01,0.83,0.75,0.64,0.66,0.0,0.3,0.0,0.0,0.0,0.59,0.09,0.0,0.05,100.0
08/26/2021,13.7,7.95,7.05,5.02,5.18,5.28,4.12,4.42,4.97,4.93,5.09,4.01,3.29,3.11,3.37,3.35,3.35,2.49,0.96,1.04,1.29,0.77,0.99,0.84,0.77,0.66,0.63,0.0,0.3,0.0,0.0,0.0,0.58,0.09,0.0,0.4,100.0
08/27/2021,13.92,7.95,6.91,5.0,5.03,5.21,4.21,4.49,4.89,4.9,5.09,4.12,3.34,3.1,3.4,3.32,3.33,2.47,1.01,1.05,1.27,0.82,0.98,0.83,0.76,0.64,0.62,0.0,0.3,0.0,0.0,0.0,0.61,0.09,0.0,0.35,100.01000000000002
08/30/2021,13.93,8.0,6.79,5.11,4.97,4.81,4.19,4.68,4.95,4.95,5.15,4.08,3.23,3.05,3.44,3.52,3.3,2.45,0.99,1.06,1.29,0.8,1.0,0.85,0.76,0.63,0.62,0.0,0.31,0.0,0.0,0.0,0.98,0.09,0.0,0.0,99.98000000000002
08/31/2021,13.93,8.0,6.79,5.11,4.97,4.81,4.19,4.68,4.95,4.95,5.15,4.08,3.23,3.05,3.44,3.52,3.3,2.45,0.99,1.06,1.29,0.8,1.0,0.85,0.76,0.63,0.62,0.0,0.31,0.0,0.0,0.0,0.98,0.09,0.0,0.0,99.98000000000002
09/01/2021,13.93,8.0,6.79,5.11,4.97,4.81,4.19,4.68,4.95,4.95,5.15,4.08,3.23,3.05,3.44,3.52,3.3,2.45,0.99,1.06,1.29,0.8,1.0,0.85,0.76,0.63,0.62,0.0,0.31,0.0,0.0,0.0,0.98,0.09,0.0,0.0,99.98000000000002
09/02/2021,13.9,7.92,6.76,5.07,4.93,4.77,4.16,4.57,5.0,4.93,5.31,4.05,3.35,3.0,3.49,3.58,3.34,2.44,1.01,1.06,1.3,0.83,1.0,0.85,0.76,0.62,0.62,0.0,0.32,0.0,0.0,0.0,0.97,0.09,0.0,0.0,100.0
09/03/2021,13.89,8.01,6.61,5.11,4.74,4.93,4.37,4.58,4.97,4.97,5.51,4.05,3.03,2.96,3.5,3.58,3.29,2.39,0.98,1.07,1.34,0.85,1.01,0.87,0.77,0.61,0.59,0.0,0.33,0.0,0.0,0.0,0.98,0.09,0.0,0.0,99.98
