,CARR,OTIS,CTVA,DOW,PENN,VMEO,OGN,CNXC,IAA,AIRC,WH,VNT,NVT,CHX,FTDR,REZI,BHF,JBGS,ETRN,ACA,KTB,CVET,VNE,MSGE,CPLG,AGPXX,Cash/Receivables/Payables,003000.KS,DTM WI,AP4.SI,SUM
07/09/2021,8.02,7.84,7.46,6.92,5.77,5.12,4.96,4.85,4.6,4.56,4.32,4.02,3.88,3.42,3.26,3.25,2.92,2.74,2.71,2.11,2.09,2.01,1.56,1.04,0.34,0.24,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.98,7.93,7.29,7.0,5.64,5.03,4.78,4.86,4.49,4.56,4.32,4.0,3.92,3.52,3.25,3.24,2.9,2.72,2.78,2.08,2.13,2.0,1.53,1.49,0.35,0.23,0.0,0.0,0.0,0.0,100.02
07/13/2021,7.98,7.93,7.29,7.0,5.64,5.03,4.78,4.86,4.49,4.56,4.32,4.0,3.92,3.52,3.25,3.24,2.9,2.72,2.78,2.08,2.13,2.0,1.53,1.49,0.35,0.23,0.0,0.0,0.0,0.0,100.02
07/14/2021,7.98,7.93,7.29,7.0,5.64,5.03,4.78,4.85,4.49,4.56,4.31,3.99,3.92,3.52,3.25,3.24,2.9,2.72,2.78,2.08,2.13,2.0,1.53,1.49,0.35,0.23,0.0,0.0,0.0,0.0,99.99
07/15/2021,8.1,7.89,7.32,6.98,5.6,4.94,4.71,4.81,4.65,4.58,4.28,3.96,3.93,3.49,3.23,3.26,2.92,2.77,2.81,2.09,2.12,2.04,1.52,1.42,0.35,0.25,0.0,0.0,0.0,0.0,100.01999999999998
07/16/2021,8.23,7.99,7.31,7.03,5.51,4.74,4.68,4.94,4.75,4.57,4.29,3.95,3.92,3.51,3.24,3.17,2.91,2.77,2.76,2.08,2.1,2.0,1.53,1.43,0.35,0.25,0.0,0.0,0.0,0.0,100.01
07/19/2021,8.35,8.21,7.25,7.0,5.4,4.76,4.68,4.89,4.82,4.77,4.28,3.95,3.9,3.34,3.19,3.09,2.93,2.84,2.71,2.04,2.09,1.95,1.51,1.39,0.42,0.26,0.0,0.0,0.0,0.0,100.02
07/20/2021,8.42,8.33,7.28,6.91,5.29,4.66,4.76,4.93,4.94,4.88,4.23,3.99,3.88,3.28,3.17,3.06,2.9,2.93,2.66,2.04,2.09,1.91,1.45,1.36,0.45,0.2,0.0,0.0,0.0,0.0,100.0
07/21/2021,8.42,8.33,7.28,6.91,5.29,4.66,4.76,4.93,4.94,4.88,4.23,3.99,3.88,3.28,3.17,3.06,2.9,2.93,2.66,2.04,2.09,1.91,1.45,1.36,0.45,0.2,0.0,0.0,0.0,0.0,100.0
07/22/2021,8.42,8.33,7.28,6.91,5.29,4.66,4.76,4.93,4.94,4.88,4.23,3.99,3.88,3.28,3.17,3.06,2.9,2.93,2.66,2.04,2.09,1.91,1.45,1.36,0.45,0.2,0.0,0.0,0.0,0.0,100.0
07/23/2021,7.8,7.82,7.34,7.19,5.64,4.11,4.5,4.11,4.87,4.81,4.0,3.66,3.47,2.89,3.02,2.88,2.76,2.87,2.56,2.19,2.25,2.17,1.76,1.66,0.39,0.28,0.0,0.0,3.01,0.0,100.01
07/26/2021,7.85,7.84,7.35,7.33,5.79,3.96,4.65,4.06,4.86,4.76,4.02,3.64,3.43,2.93,3.03,2.93,2.73,2.81,2.56,2.13,2.22,2.1,1.73,1.65,0.39,0.27,0.0,0.0,2.98,0.0,100.0
07/27/2021,7.91,7.84,7.23,7.19,5.58,3.94,4.42,4.08,4.82,4.75,3.98,3.62,3.47,2.9,3.01,2.97,2.67,2.78,2.51,2.12,2.22,2.12,2.67,1.61,0.38,0.27,0.0,0.0,2.91,0.0,99.97
07/28/2021,7.91,7.84,7.23,7.19,5.58,3.94,4.42,4.08,4.82,4.75,3.98,3.62,3.47,2.9,3.01,2.97,2.67,2.78,2.51,2.12,2.22,2.12,2.67,1.61,0.38,0.27,0.0,0.0,2.91,0.0,99.97
