,NIO,BY6.,LI,XPEV,300750.SZ,968.HK,916.HK,601012.SS,3898.HK,813.HK,586.HK,3333.HK,1585.HK,3800.HK,257.HK,601816.SS,KC,JKS,371.HK,002594.SZ,300274.SZ,600703.SS,2208.HK,819.HK,410.HK,NIU,405.HK,1798.HK,002074.SZ,002459.SZ,182.HK,300450.SZ,688009.SS,002202.SZ,1381.HK,658.HK,686.HK,603218.SS,1257.HK,002506.SZ,1330.HK,U9E.SI,Cash,1257.HK.1,1257.HK.2,CHG.BK,1363.HK,n/a,603613.SS,SUM
07/09/2021,10.54,9.31,8.99,7.85,6.48,5.13,4.7,4.29,3.35,3.17,3.15,2.65,2.6,2.37,2.18,2.09,1.91,1.86,1.81,1.64,1.59,1.34,1.29,1.21,1.16,0.97,0.89,0.67,0.54,0.52,0.45,0.41,0.41,0.4,0.31,0.28,0.26,0.26,0.25,0.22,0.2,0.18,0.08,0.04,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,9.68,9.17,8.43,7.57,6.74,5.09,4.88,4.59,3.67,3.08,3.11,2.63,2.82,2.24,2.15,2.09,1.68,2.18,1.87,1.79,1.71,1.46,1.3,1.33,1.2,0.93,0.92,0.73,0.62,0.53,0.43,0.46,0.4,0.42,0.32,0.29,0.25,0.25,0.25,0.25,0.2,0.18,0.07,0.0,0.0,0.05,0.0,0.0,0.0,100.01
07/13/2021,9.68,9.17,8.43,7.57,6.74,5.09,4.88,4.59,3.67,3.08,3.11,2.63,2.82,2.24,2.15,2.09,1.68,2.18,1.87,1.79,1.71,1.46,1.3,1.33,1.2,0.93,0.92,0.73,0.62,0.53,0.43,0.46,0.4,0.42,0.32,0.29,0.25,0.25,0.25,0.25,0.2,0.18,0.07,0.0,0.0,0.05,0.0,0.0,0.0,100.01
07/15/2021,9.42,8.65,8.24,7.17,6.68,4.76,4.64,4.61,3.49,2.98,2.99,2.48,2.67,1.99,2.05,2.07,1.66,2.04,1.82,1.73,1.73,1.42,1.28,1.3,1.21,1.03,0.89,0.68,0.63,0.52,0.42,0.47,0.4,0.43,0.31,0.29,0.26,0.29,0.25,0.26,0.2,0.18,3.39,0.0,0.0,0.04,0.0,0.0,0.0,100.02
07/26/2021,9.72,8.56,8.72,9.32,6.61,4.9,4.5,4.46,4.23,2.87,2.98,2.04,2.32,1.98,2.02,2.0,1.65,2.25,1.76,1.58,1.8,1.57,1.2,1.26,1.13,0.88,0.86,0.66,0.67,0.55,0.45,0.49,0.36,0.41,0.28,0.26,0.24,0.23,0.23,0.23,0.19,0.17,1.43,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,9.72,8.56,8.72,9.32,6.61,4.9,4.5,4.46,4.23,2.87,2.98,2.04,2.32,1.98,2.02,2.0,1.65,2.25,1.76,1.58,1.8,1.57,1.2,1.26,1.13,0.88,0.86,0.66,0.67,0.55,0.45,0.49,0.36,0.41,0.28,0.26,0.24,0.23,0.23,0.23,0.19,0.17,1.43,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/28/2021,9.72,8.56,8.72,9.32,6.61,4.9,4.5,4.46,4.23,2.87,2.98,2.04,2.32,1.98,2.02,2.0,1.65,2.25,1.76,1.58,1.8,1.57,1.2,1.26,1.13,0.88,0.86,0.66,0.67,0.55,0.45,0.49,0.36,0.41,0.28,0.26,0.24,0.23,0.23,0.23,0.19,0.17,1.43,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,9.81,8.96,9.01,8.94,6.89,4.81,4.9,4.53,4.09,2.87,3.06,1.68,2.14,1.84,2.2,2.1,1.75,2.19,1.84,1.66,1.82,1.69,1.41,1.19,1.14,0.86,0.93,0.7,0.66,0.57,0.42,0.5,0.38,0.47,0.26,0.26,0.24,0.29,0.24,0.23,0.2,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,9.81,8.96,9.01,8.94,6.89,4.81,4.9,4.53,4.09,2.87,3.06,1.68,2.14,1.84,2.2,2.1,1.75,2.19,1.84,1.66,1.82,1.69,1.41,1.19,1.14,0.86,0.93,0.7,0.66,0.57,0.42,0.5,0.38,0.47,0.26,0.26,0.24,0.29,0.24,0.23,0.2,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,9.81,8.96,9.01,8.94,6.89,4.81,4.9,4.53,4.09,2.87,3.06,1.68,2.14,1.84,2.2,2.1,1.75,2.19,1.84,1.66,1.82,1.69,1.41,1.19,1.14,0.86,0.93,0.7,0.66,0.57,0.42,0.5,0.38,0.47,0.26,0.26,0.24,0.29,0.24,0.23,0.2,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.99
