,AAPL,MSFT,AMZN,FB,GOOGL,TSLA,NVDA,JPM,JNJ,V,UNH,BRK.B,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,VZ,PFE,NFLX,INTC,CSCO,KO,CRM,ABT,T,PEP,WMT,CVX,NKE,ABBV,ACN,TMO,MRK,WFC,LLY,COST,DHR,MCD,TXN,MDT,HON,UPS,QCOM,BMY,UNP,PM,C,ORCL,AVGO,BA,LOW,NEE,MS,SBUX,RTX,BLK,GS,AMGN,IBM,INTU,SCHW,AMAT,CAT,AMT,TGT,MMM,AMD,AXP,CVS,TMUS,ISRG,GE,CHTR,DE,LMT,NOW,SPGI,SQ,ZTS,BKNG,FIS,MU,ANTM,MDLZ,SYK,UBER,ADP,PLD,TJX,PNC,LRCX,CCI,COP,MRNA,USB,ZM,MO,TFC,CI,GM,EL,GILD,CB,DUK,BDX,SNAP,CME,FDX,CL,EQIX,MMC,SHW,COF,ICE,BX,ATVI,ADSK,SO,NSC,TWLO,EW,CSX,ITW,APD,D,MCO,FISV,BSX,ADI,EMR,ETN,WM,F,TWTR,PGR,ILMN,FCX,NOC,DOCU,ECL,IDXX,HCA,AON,NXPI,CRWD,JCI,HUM,GPN,EBAY,NEM,IQV,REGN,TEL,ROKU,VRTX,MET,ALGN,GD,ROP,DOW,MSCI,BIIB,PSA,SLB,PINS,TROW,TT,LHX,WDAY,KMB,DG,DD,PLTR,BK,MAR,PXD,VEEV,CNC,APTV,KLAC,SPG,A,PH,EXC,CMG,BAX,ROST,STZ,SYY,MRVL,MTCH,EOG,EA,PSX,PPG,US Dollar,SNPS,ALL,ORLY,PANW,AEP,DLR,AIG,DXCM,OTIS,CDNS,CTSH,CARR,CQE.AX,APH,KKR,PRU,GE.,DFS,FTNT,n/a,MSI,688101.SS,688001.SS,RMD,MCHP,SNOW,ABNB,DASH,MPC,COIN,SIVB,GIS,SUM
07/09/2021,6.2,5.84,4.27,2.26,2.1,1.5,1.33,1.32,1.24,1.13,1.02,0.97,0.96,0.95,0.93,0.92,0.9,0.87,0.75,0.75,0.75,0.65,0.62,0.62,0.61,0.6,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.57,0.57,0.54,0.53,0.53,0.52,0.52,0.49,0.49,0.49,0.47,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.34
07/12/2021,6.4,5.82,4.5,2.22,2.1,1.44,1.29,1.31,1.24,1.12,1.03,0.97,0.95,0.98,0.93,0.91,0.89,0.84,0.76,0.74,0.72,0.65,0.62,0.62,0.6,0.6,0.59,0.58,0.59,0.56,0.57,0.57,0.56,0.57,0.57,0.55,0.54,0.52,0.51,0.52,0.51,0.49,0.49,0.46,0.46,0.43,0.43,0.42,0.42,0.41,0.41,0.39,0.43,0.41,0.39,0.38,0.39,0.37,0.38,0.36,0.36,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.37
07/13/2021,6.4,5.82,4.5,2.22,2.1,1.44,1.29,1.31,1.24,1.12,1.03,0.97,0.95,0.98,0.93,0.91,0.89,0.84,0.76,0.74,0.72,0.65,0.62,0.62,0.6,0.6,0.59,0.58,0.59,0.56,0.57,0.57,0.56,0.57,0.57,0.55,0.54,0.52,0.51,0.52,0.51,0.49,0.49,0.46,0.46,0.43,0.43,0.42,0.42,0.41,0.41,0.39,0.43,0.41,0.39,0.38,0.39,0.37,0.38,0.36,0.36,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.37
07/14/2021,6.4,5.83,4.5,2.22,2.1,1.44,1.29,1.31,1.24,1.12,1.03,0.97,0.95,0.98,0.93,0.91,0.89,0.84,0.76,0.74,0.72,0.65,0.62,0.62,0.6,0.6,0.59,0.58,0.59,0.57,0.57,0.57,0.56,0.57,0.57,0.55,0.54,0.52,0.51,0.52,0.51,0.49,0.49,0.46,0.46,0.43,0.43,0.42,0.42,0.41,0.41,0.39,0.43,0.41,0.39,0.38,0.39,0.37,0.38,0.36,0.36,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.38000000000001
07/15/2021,6.36,5.8,4.49,2.23,2.12,1.5,1.32,1.33,1.24,1.12,1.03,0.97,0.95,0.99,0.93,0.91,0.93,0.85,0.76,0.74,0.72,0.65,0.62,0.62,0.6,0.59,0.59,0.57,0.59,0.56,0.57,0.57,0.56,0.57,0.58,0.55,0.53,0.52,0.51,0.52,0.5,0.49,0.49,0.47,0.46,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.43,0.41,0.39,0.38,0.39,0.38,0.39,0.36,0.37,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.27,0.28,0.28,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.55000000000001
07/16/2021,6.43,5.89,4.46,2.23,2.13,1.47,1.31,1.31,1.24,1.14,1.04,0.97,0.94,0.98,0.93,0.93,0.93,0.84,0.76,0.74,0.72,0.65,0.62,0.63,0.61,0.59,0.6,0.58,0.59,0.56,0.59,0.57,0.56,0.57,0.58,0.55,0.53,0.52,0.5,0.52,0.5,0.49,0.49,0.47,0.45,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.43,0.41,0.37,0.38,0.39,0.39,0.39,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.27,0.27,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.26,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6
07/19/2021,6.58,5.91,4.41,2.19,2.13,1.43,1.23,1.31,1.24,1.18,1.05,0.97,0.96,0.97,0.95,0.95,0.93,0.82,0.77,0.74,0.7,0.65,0.63,0.63,0.6,0.6,0.62,0.56,0.58,0.57,0.6,0.58,0.55,0.58,0.58,0.56,0.54,0.52,0.52,0.51,0.51,0.5,0.49,0.46,0.45,0.45,0.43,0.42,0.42,0.41,0.41,0.4,0.42,0.41,0.36,0.39,0.4,0.39,0.39,0.36,0.35,0.36,0.35,0.35,0.35,0.33,0.32,0.32,0.34,0.33,0.33,0.29,0.31,0.3,0.29,0.29,0.27,0.27,0.28,0.28,0.28,0.28,0.26,0.27,0.25,0.26,0.24,0.26,0.25,0.24,0.22,0.25,0.25,0.23,0.23,0.22,0.23,0.2,0.25,0.22,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.18,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.11,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.78000000000002
07/20/2021,6.53,5.95,4.37,2.18,2.15,1.43,1.18,1.29,1.24,1.18,1.06,0.97,0.96,0.97,0.97,0.95,0.92,0.8,0.77,0.74,0.68,0.66,0.64,0.62,0.59,0.6,0.62,0.57,0.59,0.57,0.61,0.58,0.53,0.57,0.58,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.49,0.46,0.45,0.45,0.43,0.42,0.42,0.41,0.41,0.39,0.43,0.4,0.36,0.39,0.41,0.38,0.39,0.36,0.35,0.35,0.36,0.35,0.35,0.33,0.31,0.32,0.34,0.33,0.32,0.29,0.31,0.3,0.3,0.29,0.27,0.28,0.27,0.28,0.28,0.28,0.26,0.27,0.25,0.26,0.24,0.26,0.25,0.24,0.22,0.25,0.25,0.23,0.22,0.21,0.23,0.2,0.27,0.22,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.18,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.11,0.13,0.0,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6
07/21/2021,6.53,5.95,4.37,2.18,2.15,1.43,1.18,1.29,1.24,1.18,1.06,0.97,0.96,0.97,0.97,0.95,0.92,0.8,0.77,0.74,0.68,0.66,0.64,0.62,0.59,0.6,0.62,0.57,0.59,0.57,0.61,0.58,0.53,0.57,0.58,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.49,0.46,0.45,0.45,0.43,0.42,0.42,0.41,0.41,0.39,0.43,0.4,0.36,0.39,0.41,0.38,0.39,0.36,0.35,0.35,0.36,0.35,0.35,0.33,0.31,0.32,0.34,0.33,0.32,0.29,0.31,0.3,0.3,0.29,0.27,0.28,0.27,0.28,0.28,0.28,0.26,0.27,0.25,0.26,0.24,0.26,0.25,0.24,0.22,0.25,0.25,0.23,0.22,0.21,0.23,0.2,0.27,0.22,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.18,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.11,0.13,0.0,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6
07/22/2021,6.44,5.95,4.41,2.19,2.14,1.45,1.24,1.27,1.25,1.16,1.04,0.97,0.97,0.99,0.98,0.91,0.9,0.79,0.78,0.74,0.67,0.66,0.64,0.63,0.6,0.61,0.62,0.57,0.6,0.57,0.61,0.59,0.53,0.57,0.58,0.56,0.55,0.53,0.51,0.53,0.52,0.51,0.49,0.47,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.38,0.44,0.41,0.35,0.39,0.41,0.38,0.39,0.35,0.35,0.35,0.36,0.35,0.36,0.32,0.32,0.32,0.35,0.34,0.33,0.3,0.3,0.3,0.29,0.29,0.26,0.28,0.27,0.28,0.29,0.28,0.26,0.27,0.24,0.25,0.24,0.25,0.26,0.23,0.22,0.24,0.25,0.22,0.22,0.22,0.24,0.19,0.3,0.21,0.2,0.22,0.2,0.21,0.19,0.21,0.21,0.21,0.22,0.21,0.18,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.16,0.14,0.15,0.16,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.13,0.0,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.0,0.11,0.11,0.0,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.14,0.11,0.1,0.11,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.71000000000002
