,SYLD,VAMO,EYLD,MXI,VBR,VB,DBE,DBB,RXI,Vanguard FTSE Developed Markets ETF,FYLD,GVAL,Us Dollars,iShares Global Consumer Discr ETF,PDBC,SUM
07/09/2021,16.66,12.26,8.73,7.67,7.32,7.0,7.0,6.74,6.42,6.4,6.37,5.67,1.75,0.0,0.0,99.99
07/12/2021,16.46,12.06,8.84,7.73,7.29,7.02,7.02,6.84,0.0,0.0,6.37,5.72,1.79,6.45,6.42,100.01000000000002
07/13/2021,16.46,12.06,8.84,7.73,7.29,7.02,7.02,6.84,0.0,0.0,6.37,5.72,1.79,6.45,6.42,100.01000000000002
07/14/2021,16.54,12.1,8.95,7.76,7.31,7.01,6.96,6.83,0.0,0.0,6.35,5.68,1.75,6.42,6.35,100.01
07/15/2021,16.6,12.21,8.85,7.76,7.33,7.01,6.94,6.75,0.0,0.0,6.35,5.65,1.75,6.45,6.35,100.0
07/16/2021,16.47,12.09,8.73,7.77,7.27,6.97,7.12,6.82,0.0,0.0,6.38,5.65,1.76,6.47,6.48,99.98000000000002
07/19/2021,16.41,11.82,8.94,7.88,7.28,6.93,6.96,6.88,0.0,0.0,6.42,5.71,1.8,6.51,6.45,99.99
07/20/2021,16.19,11.73,9.05,7.84,7.25,6.93,7.05,6.97,0.0,0.0,6.43,5.72,1.82,6.51,6.5,99.99
07/21/2021,16.19,11.73,9.05,7.84,7.25,6.93,7.05,6.97,0.0,0.0,6.43,5.72,1.82,6.51,6.5,99.99
07/22/2021,16.19,11.73,9.05,7.84,7.25,6.93,7.05,6.97,0.0,0.0,6.43,5.72,1.82,6.51,6.5,99.99
07/23/2021,16.3,11.99,9.01,7.8,7.34,7.06,6.77,6.96,0.0,0.0,6.35,5.68,1.83,6.54,6.38,100.00999999999998
07/26/2021,16.22,11.68,8.92,7.84,7.3,7.03,7.07,6.91,0.0,0.0,6.41,5.72,1.81,6.56,6.53,100.0
07/27/2021,16.21,11.82,8.94,7.83,7.28,7.01,7.05,6.98,0.0,0.0,6.37,5.67,1.8,6.55,6.49,100.0
07/28/2021,16.21,11.82,8.94,7.83,7.28,7.01,7.05,6.98,0.0,0.0,6.37,5.67,1.8,6.55,6.49,100.0
07/29/2021,16.26,11.87,8.89,7.86,7.27,6.98,7.04,7.01,0.0,0.0,6.38,5.67,1.78,6.48,6.5,99.99000000000001
