,PSMD,PSMR,PSFD,PSFM,PSCX,Pacer Swan SOS Conservative (April) ETF,U.S. Bank Money Market Deposit Account,PSMJ,PSCW,PSFJ,Pacer Swan SOS Conservative (July) ETF,PSCJ,Pacer Swan SOS Conservative (Dec) ETF,n/a,EGCO.BK,BIDI11.SA,PSMO,PSFO,PSCQ,SUM
07/09/2021,32.61,22.03,14.59,13.63,9.39,7.07,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,32.59,22.04,14.6,13.65,9.38,7.08,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,32.59,22.04,14.6,13.65,9.38,7.08,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,32.61,22.04,14.59,13.62,9.39,7.08,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,32.56,22.05,14.62,13.66,9.37,7.07,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,32.56,22.05,14.62,13.66,9.37,7.07,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,30.04,20.38,13.49,12.63,8.67,6.54,0.62,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,21.49,20.36,9.65,12.61,6.19,0.0,0.68,16.19,6.54,3.83,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,21.5,20.36,9.64,12.59,6.2,0.0,0.67,16.21,6.54,3.82,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,21.5,20.36,9.64,12.59,6.2,0.0,0.67,16.21,6.54,3.82,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,21.5,20.36,9.64,12.59,6.2,0.0,0.67,16.21,6.54,3.82,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,18.64,17.67,8.36,10.94,5.37,0.0,7.24,18.8,5.67,4.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,18.64,17.67,8.36,10.94,5.37,0.0,7.24,18.8,5.67,4.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,17.42,16.56,7.84,10.28,5.03,0.0,6.84,22.1,5.31,5.36,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/29/2021,18.57,17.64,8.35,10.95,5.35,0.0,0.71,23.58,5.66,5.72,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/30/2021,18.57,17.64,8.35,10.95,5.35,0.0,0.71,23.58,5.66,5.72,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/02/2021,10.79,17.09,4.87,10.61,0.0,0.0,3.97,29.96,5.48,8.73,0.0,5.41,3.11,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,10.79,17.09,4.87,10.61,0.0,0.0,3.97,29.96,5.48,8.73,0.0,5.41,3.11,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,10.79,17.09,4.87,10.61,0.0,0.0,3.97,29.96,5.48,8.73,0.0,5.41,3.11,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,10.79,17.09,4.87,10.61,0.0,0.0,3.97,29.96,5.48,8.73,0.0,5.41,3.11,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,10.78,17.08,4.86,10.61,0.0,0.0,0.82,31.86,5.48,9.55,0.0,5.85,3.11,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,10.11,16.04,4.57,9.99,0.0,0.0,0.0,33.54,5.13,10.49,0.0,6.4,0.0,2.92,0.81,0.0,0.0,0.0,0.0,100.0
08/25/2021,5.57,18.7,2.52,9.33,0.0,0.0,0.0,35.66,4.97,13.01,0.0,7.62,0.0,1.61,0.0,1.02,0.0,0.0,0.0,100.01
08/26/2021,5.57,18.7,2.52,9.33,0.0,0.0,0.0,35.66,4.97,13.01,0.0,7.62,0.0,1.61,0.0,1.02,0.0,0.0,0.0,100.01
08/27/2021,5.56,18.64,2.52,9.34,0.0,0.0,0.0,35.73,4.96,13.07,0.0,7.63,0.0,1.6,0.0,0.96,0.0,0.0,0.0,100.01
08/30/2021,5.56,18.66,2.52,9.35,0.0,0.0,0.0,35.71,4.96,13.05,0.0,7.62,0.0,1.61,0.0,0.96,0.0,0.0,0.0,100.0
08/31/2021,5.56,18.66,2.52,9.35,0.0,0.0,0.0,35.71,4.96,13.05,0.0,7.62,0.0,1.61,0.0,0.96,0.0,0.0,0.0,100.0
09/01/2021,5.55,18.64,2.52,9.35,0.0,0.0,0.0,35.73,4.95,13.08,0.0,7.62,0.0,1.6,0.0,0.96,0.0,0.0,0.0,100.0
09/02/2021,5.55,18.64,2.52,9.35,0.0,0.0,0.0,35.73,4.95,13.08,0.0,7.62,0.0,1.6,0.0,0.96,0.0,0.0,0.0,100.0
09/03/2021,5.55,18.63,2.52,9.35,0.0,0.0,0.0,35.73,4.95,13.09,0.0,7.62,0.0,1.6,0.0,0.96,0.0,0.0,0.0,100.0
09/06/2021,5.36,17.99,2.43,9.02,0.0,0.0,0.0,35.55,4.78,13.08,0.0,7.63,0.0,1.55,0.0,2.62,0.0,0.0,0.0,100.01
09/07/2021,4.79,16.09,2.18,8.08,1.38,0.0,0.0,35.38,4.28,13.19,0.0,7.72,0.0,6.9,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,4.79,16.09,2.18,8.08,1.38,0.0,0.0,35.38,4.28,13.19,0.0,7.72,0.0,6.9,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,5.1,17.13,2.32,8.6,1.47,0.0,0.0,37.65,4.55,14.03,0.0,8.21,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,5.11,17.13,2.32,8.59,1.47,0.0,0.0,37.64,4.56,14.02,0.0,8.21,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,5.13,17.2,2.32,8.62,1.48,0.0,0.0,37.45,4.57,14.05,0.0,8.23,0.0,0.94,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,4.96,16.63,2.25,8.33,1.43,0.0,0.0,38.32,4.42,14.33,0.0,8.42,0.0,0.91,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,4.95,16.6,2.24,8.3,1.43,0.0,0.0,38.34,4.41,14.35,0.0,8.43,0.0,0.92,0.0,0.0,0.0,0.0,0.0,99.97
09/16/2021,4.95,16.6,2.24,8.3,1.43,0.0,0.0,38.34,4.41,14.35,0.0,8.43,0.0,0.92,0.0,0.0,0.0,0.0,0.0,99.97
09/17/2021,4.95,16.59,2.25,8.31,1.43,0.0,0.0,38.34,4.41,14.35,0.0,8.43,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.0
09/20/2021,4.96,16.61,2.25,8.33,1.43,0.0,0.0,38.3,4.42,14.34,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,4.96,16.63,2.25,8.33,1.43,0.0,0.0,38.29,4.42,14.32,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,4.96,16.63,2.25,8.33,1.43,0.0,0.0,38.29,4.42,14.32,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,4.96,16.63,2.25,8.33,1.43,0.0,0.0,38.29,4.42,14.32,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,4.98,16.66,2.25,8.3,1.44,0.0,0.0,38.29,4.43,14.26,0.0,8.44,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,4.96,16.63,2.25,8.32,1.43,0.0,0.0,38.3,4.42,14.33,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,4.96,16.63,2.25,8.32,1.43,0.0,0.0,38.3,4.42,14.33,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.0
09/29/2021,4.96,16.63,2.25,8.32,1.43,0.0,0.0,38.3,4.42,14.33,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.0
09/30/2021,4.97,16.63,2.25,8.32,1.43,0.0,0.0,38.29,4.42,14.32,0.0,8.42,0.0,0.94,0.0,0.0,0.0,0.0,0.0,99.99
10/01/2021,4.98,16.64,2.25,8.3,1.44,0.0,0.0,38.3,4.43,14.28,0.0,8.43,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,4.98,16.64,2.25,8.3,1.44,0.0,0.0,38.3,4.43,14.28,0.0,8.43,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.0
10/05/2021,4.99,16.66,2.25,8.29,1.44,0.0,0.0,38.3,4.43,14.26,0.0,8.43,0.0,0.96,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/06/2021,4.98,16.65,2.25,8.3,1.44,0.0,0.0,38.3,4.43,14.28,0.0,8.43,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,5.0,16.66,2.25,8.28,1.44,0.0,0.0,38.3,4.43,14.25,0.0,8.43,0.0,0.96,0.0,0.0,0.0,0.0,0.0,100.0
10/08/2021,5.0,16.66,2.25,8.28,1.44,0.0,0.0,38.3,4.43,14.25,0.0,8.43,0.0,0.96,0.0,0.0,0.0,0.0,0.0,100.0
10/11/2021,4.98,16.64,2.25,8.29,1.44,0.0,0.0,38.32,4.42,14.3,0.0,8.42,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.01
10/12/2021,4.98,16.64,2.25,8.29,1.44,0.0,0.0,38.32,4.42,14.3,0.0,8.42,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.01
10/13/2021,4.98,16.64,2.25,8.29,1.44,0.0,0.0,38.32,4.42,14.3,0.0,8.42,0.0,0.95,0.0,0.0,0.0,0.0,0.0,100.01
10/14/2021,4.98,16.64,2.25,8.31,1.44,0.0,0.0,38.32,4.42,14.3,0.0,8.41,0.0,0.93,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,4.99,16.66,2.25,8.3,1.44,0.0,0.0,38.32,4.43,14.27,0.0,8.41,0.0,0.93,0.0,0.0,0.0,0.0,0.0,100.0
10/18/2021,4.99,16.66,2.25,8.3,1.44,0.0,0.0,38.29,4.43,14.29,0.0,8.41,0.0,0.93,0.0,0.0,0.0,0.0,0.0,99.99
10/19/2021,4.69,15.68,2.12,7.84,1.35,0.0,0.0,36.03,4.16,13.5,0.0,7.92,0.0,3.8,0.0,0.0,1.74,0.73,0.43,99.99
10/20/2021,4.81,16.11,2.19,8.08,1.39,0.0,0.0,37.13,4.28,13.91,0.0,8.18,0.0,0.94,0.0,0.0,1.79,0.75,0.45,100.01
10/21/2021,4.83,10.73,2.19,8.11,1.39,0.0,0.0,30.84,2.39,12.42,0.0,6.59,0.0,0.94,0.0,0.0,11.72,4.91,2.94,100.0
10/22/2021,3.9,8.67,1.78,6.56,1.12,0.0,0.0,22.07,1.93,8.77,0.0,5.33,0.0,13.11,0.0,0.0,16.03,6.71,4.01,99.99000000000002
12/21/2021,6.96,7.21,2.73,5.49,2.93,0.0,0.0,15.32,1.6,6.14,0.0,3.06,0.0,0.91,0.0,0.0,30.33,11.2,6.12,100.0
12/22/2021,6.97,7.21,2.74,5.48,2.93,0.0,0.0,15.32,1.6,6.13,0.0,3.06,0.0,0.91,0.0,0.0,30.32,11.19,6.12,99.98
12/23/2021,7.03,7.22,2.75,5.49,2.95,0.0,0.0,15.31,1.61,6.12,0.0,3.06,0.0,0.92,0.0,0.0,30.29,11.16,6.12,100.03000000000002
12/24/2021,7.01,7.21,2.75,5.49,2.95,0.0,0.0,15.32,1.61,6.12,0.0,3.06,0.0,0.91,0.0,0.0,30.29,11.17,6.11,100.0
12/30/2021,13.61,6.19,6.15,4.73,4.99,0.0,0.0,13.16,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,26.09,9.66,5.26,100.01
12/31/2021,18.78,6.2,8.3,4.74,6.29,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.01999999999998
01/03/2022,18.78,6.19,8.3,4.74,6.28,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.0
01/03/2022,18.78,6.19,8.3,4.74,6.28,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.0
