,RIO.AX,2330.TW,ULVR.L,ASML.AS,NOVO B.CO,ROG.SW,REL.L,8035.T,PGHN.SW,CNR.TO,RO.SW,RMS.PA,NESTE.HE,INFY.NS,700.HK,QSP.UN.TO,GIVN.SW,CSL.AX,4503.T,4519.T,9983.T,SIKA.SW,000660.KS,CP.TO,TLKM.JK,ATCOB.ST,ITC.NS,COLO B.CO,TCS.NS,KBX.DE,MIN.AX,S68.SI,7741.T,HINDUNILVR.NS,RACE.MI,MBT,LOGN.SW,GAIL.NS,2688.HK,EVO.ST,BNZL.L,4507.T,2313.HK,IMI.L,NZYM B.CO,EQT.ST,3008.TW,SCHP.SW,3034.TW,688012.SS,6857.T,2327.TW,ASHM.L,CIX.TO,4768.T,1308.HK,REC.MI,VRLA.PA,ATD.B.TO,DSV.CO,MRU.TO,2912.TW,NPI.TO,1093.HK,EVN.AX,4922.T,7951.T,DMP.AX,BAJAJ-AUTO.NS,ENX.PA,4684.T,2020.HK,BESI.AS,CCL.B.TO,2379.TW,2345.TW,1476.TW,RBREW.CO,HLMA.L,EPIB.ST,CSU.TO,AMS.JO,ORNBV.HE,6506.T,HEROMOTOCO.NS,TECHM.NS,NMDC.NS,6869.T,GTT.PA,PLZL.L,3092.T,4716.T,EGIE3.SA,SFSN.SW,2371.T,TIH.TO,1929.HK,HSV.L,KIMBERA.MX,2337.TW,968.HK,JSWSTEEL.NS,LIFCO B.ST,ASIANPAINT.NS,2331.HK,1030.HK,6186.HK,9910.TW,051900.KS,9697.T,6920.T,7988.T,2408.TW,BEL.NS,EREGL.IS,SPP.JO,2377.TW,867.HK,MARUTI.NS,HCLTECH.NS,GAW.L,DIM.PA,2395.TW,TRI.PA,036570.KS,BEIJ B.ST,MELE.BR,SIM.CO,2382.HK,MARICO.NS,6383.T,2413.T,DELTA-R.BK,GN.CO,PETRONET.NS,STRS.TA,COLPAL.NS,2127.T,8464.TW,2412.T,6669.TW,3064.T,TEMN.SW,EQTL3.SA,2492.TW,IP.MI,4816.T,NST.AX,FPE.,BC8.DE,4751.T,345.HK,3990.HK,2772.HK,TCELL.IS,3769.T,3799.HK,UPL.NS,DMP.DE,BRG.AX,3380.HK,7956.T,BTO.TO,6028.T,4921.T,FROTO.IS,GRUMAB.MX,TORNTPOWER.NS,TBIG.JK,2782.T,6409.TW,MPHASIS.NS,LREN3.SA,REY.MI,PMETAL.KL,RENT3.SA,3659.T,6110.HK,1112.HK,3038.T,7564.T,BALKRISIND.NS,DIA.MI,PIDILITIND.NS,HDFCAMC.NS,3765.T,DABUR.NS,SWON.SW,EICHERMOT.NS,MYCR.ST,CBG-R.BK,MUTHOOTFIN.NS,MGLU3.SA,7747.T,881.HK,ANG.JO,036490.KQ,UNVR.JK,2049.TW,6750.T,ADDT B.ST,1268.HK,DRREDDY.NS,8111.T,SUM
07/09/2021,4.59,4.56,4.45,4.18,3.85,3.52,3.26,3.05,2.64,2.63,2.43,1.93,1.89,1.84,1.51,1.47,1.41,1.37,1.35,1.17,1.17,1.08,1.02,1.01,1.01,0.89,0.86,0.76,0.71,0.68,0.67,0.64,0.62,0.58,0.58,0.56,0.55,0.53,0.53,0.5,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,98.12
07/12/2021,4.58,4.58,4.52,4.18,3.9,3.56,3.32,3.04,2.67,2.6,2.45,1.95,1.84,1.83,1.44,1.46,1.42,1.35,1.33,1.13,1.14,1.1,1.02,1.01,0.99,0.89,0.86,0.77,0.7,0.64,0.69,0.64,0.63,0.58,0.58,0.51,0.56,0.52,0.52,0.49,0.47,0.47,0.44,0.44,0.45,0.46,0.43,0.43,0.43,0.0,0.42,0.46,0.4,0.39,0.39,0.41,0.41,0.38,0.36,0.37,0.35,0.35,0.35,0.32,0.34,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.27,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.27,0.25,0.25,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.17,0.16,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.42,0.05,0.0,0.0,98.09
07/13/2021,4.58,4.58,4.52,4.18,3.9,3.56,3.32,3.04,2.67,2.6,2.45,1.95,1.84,1.83,1.44,1.46,1.42,1.35,1.33,1.13,1.14,1.1,1.02,1.01,0.99,0.89,0.86,0.77,0.7,0.64,0.69,0.64,0.63,0.58,0.58,0.51,0.56,0.52,0.52,0.49,0.47,0.47,0.44,0.44,0.45,0.46,0.43,0.43,0.43,0.0,0.42,0.46,0.4,0.39,0.39,0.41,0.41,0.38,0.36,0.37,0.35,0.35,0.35,0.32,0.34,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.27,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.27,0.25,0.25,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.17,0.16,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.42,0.05,0.0,0.0,98.09
07/14/2021,4.58,4.52,4.5,4.22,3.97,3.6,3.32,3.01,2.67,2.65,2.47,1.97,1.88,1.83,1.42,1.46,1.43,1.33,1.33,1.11,1.15,1.12,0.99,0.98,1.04,0.9,0.85,0.78,0.69,0.69,0.69,0.65,0.62,0.58,0.59,0.5,0.56,0.52,0.52,0.49,0.49,0.46,0.43,0.45,0.45,0.46,0.42,0.44,0.43,0.0,0.42,0.45,0.41,0.39,0.39,0.39,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.31,0.34,0.32,0.31,0.3,0.29,0.3,0.3,0.31,0.29,0.28,0.29,0.28,0.25,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.19,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.17,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.43,0.0,0.05,0.0,98.14
07/15/2021,4.58,4.52,4.5,4.22,3.97,3.6,3.32,3.01,2.67,2.65,2.47,1.97,1.88,1.83,1.42,1.46,1.43,1.33,1.33,1.11,1.15,1.12,0.99,0.98,1.04,0.9,0.85,0.78,0.69,0.69,0.69,0.65,0.62,0.58,0.59,0.5,0.56,0.52,0.52,0.49,0.49,0.46,0.43,0.45,0.45,0.46,0.42,0.44,0.43,0.0,0.42,0.45,0.41,0.39,0.39,0.39,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.31,0.34,0.32,0.31,0.3,0.29,0.3,0.3,0.31,0.29,0.28,0.29,0.28,0.25,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.19,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.17,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.43,0.0,0.05,0.0,98.14
07/16/2021,4.62,4.55,4.49,4.24,3.93,3.59,3.34,3.04,2.71,2.59,2.47,1.97,1.92,1.8,1.39,1.45,1.43,1.34,1.35,1.13,1.15,1.11,0.98,0.96,1.02,0.9,0.84,0.79,0.68,0.69,0.72,0.64,0.63,0.57,0.59,0.5,0.56,0.51,0.52,0.48,0.49,0.47,0.42,0.45,0.44,0.48,0.41,0.44,0.44,0.0,0.43,0.44,0.41,0.39,0.39,0.39,0.42,0.38,0.37,0.37,0.36,0.35,0.35,0.32,0.34,0.32,0.32,0.3,0.28,0.3,0.3,0.31,0.29,0.27,0.29,0.28,0.25,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.21,0.24,0.23,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.2,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.17,0.16,0.14,0.13,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.42,0.05,0.0,0.0,98.09
07/19/2021,4.62,4.69,4.46,4.34,3.91,3.57,3.36,3.01,2.67,2.56,2.46,1.99,1.92,1.83,1.45,1.44,1.42,1.33,1.36,1.12,1.14,1.11,1.01,0.93,0.99,0.89,0.85,0.78,0.68,0.68,0.72,0.64,0.62,0.56,0.58,0.5,0.54,0.51,0.53,0.47,0.49,0.47,0.4,0.45,0.44,0.47,0.42,0.44,0.43,0.0,0.41,0.44,0.41,0.38,0.4,0.39,0.41,0.39,0.37,0.37,0.36,0.35,0.35,0.33,0.35,0.32,0.32,0.3,0.28,0.29,0.3,0.31,0.29,0.27,0.29,0.28,0.24,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.22,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.18,0.2,0.19,0.18,0.19,0.2,0.2,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.17,0.17,0.14,0.14,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.42,0.05,0.0,0.0,98.09
07/20/2021,4.68,4.53,4.51,4.21,3.99,3.61,3.36,2.96,2.71,2.56,2.5,1.96,1.9,1.81,1.47,1.43,1.43,1.32,1.34,1.09,1.11,1.11,1.0,0.94,1.03,0.91,0.87,0.8,0.68,0.69,0.71,0.65,0.61,0.56,0.58,0.5,0.53,0.5,0.56,0.47,0.49,0.46,0.39,0.44,0.44,0.48,0.42,0.44,0.44,0.0,0.41,0.44,0.38,0.39,0.39,0.4,0.4,0.38,0.39,0.37,0.36,0.36,0.35,0.33,0.34,0.32,0.32,0.3,0.28,0.29,0.3,0.31,0.28,0.27,0.3,0.29,0.24,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.21,0.19,0.19,0.17,0.19,0.18,0.18,0.17,0.19,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.18,0.17,0.14,0.15,0.15,0.13,0.15,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.44,0.05,0.0,0.0,98.02
07/21/2021,4.68,4.53,4.51,4.21,3.99,3.61,3.36,2.96,2.71,2.56,2.5,1.96,1.9,1.81,1.47,1.43,1.43,1.32,1.34,1.09,1.11,1.11,1.0,0.94,1.03,0.91,0.87,0.8,0.68,0.69,0.71,0.65,0.61,0.56,0.58,0.5,0.53,0.5,0.56,0.47,0.49,0.46,0.39,0.44,0.44,0.48,0.42,0.44,0.44,0.0,0.41,0.44,0.38,0.39,0.39,0.4,0.4,0.38,0.39,0.37,0.36,0.36,0.35,0.33,0.34,0.32,0.32,0.3,0.28,0.29,0.3,0.31,0.28,0.27,0.3,0.29,0.24,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.21,0.19,0.19,0.17,0.19,0.18,0.18,0.17,0.19,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.18,0.17,0.14,0.15,0.15,0.13,0.15,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.44,0.05,0.0,0.0,98.02
07/22/2021,4.68,4.53,4.51,4.21,3.99,3.61,3.36,2.96,2.71,2.56,2.5,1.96,1.9,1.81,1.47,1.43,1.43,1.32,1.34,1.09,1.11,1.11,1.0,0.94,1.03,0.91,0.87,0.8,0.68,0.69,0.71,0.65,0.61,0.56,0.58,0.5,0.53,0.5,0.56,0.47,0.49,0.46,0.39,0.44,0.44,0.48,0.42,0.44,0.44,0.0,0.41,0.44,0.38,0.39,0.39,0.4,0.4,0.38,0.39,0.37,0.36,0.36,0.35,0.33,0.34,0.32,0.32,0.3,0.28,0.29,0.3,0.31,0.28,0.27,0.3,0.29,0.24,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.21,0.19,0.19,0.17,0.19,0.18,0.18,0.17,0.19,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.18,0.17,0.14,0.15,0.15,0.13,0.15,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.44,0.05,0.0,0.0,98.02
