,FB,GOOG,GOOGL,DIS,CMCSA,NFLX,VZ,T,CHTR,TMUS,ATVI,SNAP,TWTR,EA,ROKU,MTCH,PINS,LBRDK,VIAC,TTWO,OMC,Z,LYV,IPG,AMC,LUMN,FOXA,DISH,NWSA,LBTYK,ZNGA,DISCK,IAC,FWONK,NXST,CABO,ATUS,LSXMK,FOX,TRIP,LBRDA,ZG,TGNA,IRDM,NYT,LBTYA,LSXMA,DISCA,ZI,CDLX,NWS,MGNI,CCOI,SIRI,WMG,YELP,JW.A,BMBL,MSGS,WWE,IHRT,BAND,TDS,SHEN,CNK,PLTK,LILAK,CARG,VMEO,GTN,TTGT,SKLZ,LGF/B,LGF.A,SBGI,MSGE,AMCX,MDP,EB,FUBO,SSP,IMAX,GSAT,BATRK,CARS,ANGI,RADI,QNST,SCHL,WOW,ORBC,ADV,CCO,CBB,GCI,CNSL,MAX,LILA,MSGN,WIFI,GOGO,ATEX,TRUE,AUD,ATNI,USM,BOMN,EVER,MCS,LORL,LTRPA,CURI,BATRA,HMTV,THRY,CHG.BK,RBLX,EEX,NCMI,EDR,VG,SCOR,FWONA,Boingo Wireless Inc,PTBL.TA,SUM
07/09/2021,16.67,11.27,11.26,6.08,4.5,4.48,4.25,4.09,2.51,2.18,1.95,1.44,1.26,1.17,1.08,1.06,1.0,0.8,0.8,0.72,0.67,0.62,0.59,0.59,0.58,0.56,0.52,0.52,0.51,0.48,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93
07/12/2021,16.67,11.27,11.26,6.08,4.5,4.48,4.25,4.09,2.51,2.18,1.95,1.44,1.26,1.17,1.08,1.06,1.0,0.8,0.8,0.72,0.67,0.62,0.59,0.59,0.58,0.56,0.52,0.52,0.51,0.48,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,99.93
07/13/2021,16.67,11.27,11.26,6.08,4.5,4.48,4.25,4.09,2.51,2.18,1.95,1.44,1.26,1.17,1.08,1.06,1.0,0.8,0.8,0.72,0.67,0.62,0.59,0.59,0.58,0.56,0.52,0.52,0.51,0.48,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,99.93
07/14/2021,16.67,11.27,11.26,6.08,4.5,4.48,4.25,4.09,2.51,2.18,1.95,1.44,1.26,1.17,1.08,1.06,1.0,0.8,0.8,0.72,0.67,0.62,0.59,0.59,0.58,0.56,0.52,0.52,0.51,0.48,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,99.93
07/15/2021,16.67,11.27,11.26,6.08,4.5,4.48,4.25,4.09,2.51,2.18,1.95,1.44,1.26,1.17,1.08,1.06,1.0,0.8,0.8,0.72,0.67,0.62,0.59,0.59,0.58,0.56,0.52,0.52,0.51,0.48,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,99.93
07/16/2021,16.67,11.27,11.26,6.08,4.5,4.48,4.25,4.09,2.51,2.18,1.95,1.44,1.26,1.17,1.08,1.06,1.0,0.8,0.8,0.72,0.67,0.62,0.59,0.59,0.58,0.56,0.52,0.52,0.51,0.48,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,99.93
07/19/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,99.99
07/20/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,99.99
07/21/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,99.99
07/22/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,99.99
